bd,sn,uw,lw,sz,id
6,-1.0,1,16,23,219
34,-1.0,1,2,37,220
9,-1.0,12,3,24,221
8,1.0,1,13,22,222
10,-1.0,7,0,17,223
14,-1.0,2,5,21,224
60,-1.0,0,35,95,225
10,-1.0,0,34,44,226
15,1.0,2,8,25,227
43,-1.0,3,0,46,228
15,-1.0,1,29,45,229
20,-1.0,6,11,37,230
20,1.0,12,9,41,231
11,1.0,12,4,27,232
17,-1.0,2,10,29,233
12,1.0,6,0,18,234
3,-1.0,10,8,21,235
19,-1.0,1,7,27,236
2,-1.0,7,11,20,237
22,-1.0,2,11,35,238
20,-1.0,1,7,28,239
6,-1.0,7,3,16,240
34,1.0,4,2,40,241
13,1.0,0,5,18,242
10,1.0,14,0,24,243
10,1.0,1,7,18,244
0,1.0,1,16,17,245
8,-1.0,11,8,27,246
31,-1.0,0,2,33,247
0,0.0,3,17,20,248
11,-1.0,6,11,28,249
11,-1.0,6,2,19,250
18,1.0,0,3,21,251
15,-1.0,2,7,24,252
30,-1.0,8,31,69,253
15,-1.0,8,0,23,254
3,1.0,5,12,20,255
13,-1.0,16,1,30,256
7,-1.0,0,15,22,257
3,1.0,18,1,22,258
30,-1.0,3,0,33,259
4,1.0,0,21,25,260
15,1.0,4,4,23,261
38,1.0,8,1,47,262
30,-1.0,6,4,40,263
5,-1.0,4,10,19,264
5,1.0,5,4,14,265
15,-1.0,2,3,20,266
0,1.0,11,4,15,267
9,1.0,12,1,22,268
15,1.0,3,2,20,269
11,1.0,18,7,36,270
9,-1.0,10,0,19,271
21,-1.0,6,0,27,272
2,-1.0,5,11,18,273
10,1.0,4,2,16,274
3,-1.0,6,6,15,275
8,1.0,14,14,36,276
26,-1.0,6,1,33,277
36,1.0,9,0,45,278
9,-1.0,7,11,27,279
16,1.0,1,5,22,280
3,-1.0,8,11,22,281
32,-1.0,2,0,34,282
10,-1.0,5,13,28,283
13,1.0,2,5,20,284
27,1.0,20,0,47,285
37,-1.0,3,5,45,286
24,-1.0,7,3,34,287
14,1.0,5,2,21,288
24,-1.0,7,15,46,289
3,1.0,1,34,38,290
22,-1.0,1,9,32,291
3,1.0,0,15,18,292
24,1.0,14,4,42,293
9,1.0,1,3,13,294
30,-1.0,1,9,40,295
37,-1.0,1,9,47,296
17,1.0,1,9,27,297
16,1.0,6,5,27,298
51,1.0,31,0,82,299
5,-1.0,28,0,33,300
26,-1.0,0,14,40,301
6,-1.0,13,2,21,302
42,-1.0,9,2,53,303
6,1.0,0,22,28,304
24,1.0,1,6,31,305
37,-1.0,1,0,38,306
15,1.0,4,9,28,307
49,-1.0,0,12,61,308
11,1.0,13,11,35,309
10,1.0,0,28,38,310
17,1.0,11,2,30,311
18,-1.0,2,7,27,312
1,-1.0,7,15,23,313
13,1.0,5,2,20,314
24,-1.0,9,8,41,315
10,-1.0,5,11,26,316
15,1.0,6,3,24,317
0,0.0,6,4,10,318
13,-1.0,4,2,19,319
7,-1.0,4,1,12,320
12,-1.0,0,4,16,321
0,0.0,5,14,19,322
42,1.0,1,0,43,323
20,-1.0,13,3,36,324
1,1.0,5,9,15,325
3,1.0,10,14,27,326
4,1.0,3,15,22,327
9,-1.0,5,0,14,328
16,-1.0,4,0,20,329
6,1.0,5,1,12,330
13,1.0,0,4,17,331
1,-1.0,5,1,7,332
9,-1.0,0,17,26,333
7,1.0,1,8,16,334
6,1.0,2,5,13,335
4,1.0,4,5,13,336
12,1.0,3,4,19,337
22,1.0,10,0,32,338
1,-1.0,7,9,17,339
30,1.0,4,2,36,340
9,1.0,2,13,24,341
15,-1.0,4,6,25,342
7,1.0,0,23,30,343
5,1.0,10,8,23,344
6,1.0,5,7,18,345
10,1.0,12,1,23,346
11,-1.0,1,6,18,347
1,1.0,5,3,9,348
12,-1.0,9,9,30,349
27,-1.0,1,0,28,350
8,-1.0,13,9,30,351
28,1.0,1,0,29,352
18,1.0,2,3,23,353
12,1.0,5,11,28,354
2,1.0,17,8,27,355
7,-1.0,1,9,17,356
25,1.0,0,4,29,357
7,-1.0,3,3,13,358
15,1.0,6,8,29,359
16,-1.0,0,1,17,360
33,-1.0,1,12,46,361
13,-1.0,2,10,25,362
11,-1.0,0,4,15,363
17,1.0,2,2,21,364
12,-1.0,3,0,15,365
31,-1.0,5,0,36,366
14,-1.0,3,6,23,367
32,1.0,6,2,40,368
22,-1.0,1,0,23,369
12,1.0,8,5,25,370
4,-1.0,5,3,12,371
18,1.0,3,5,26,372
49,-1.0,11,36,96,373
19,1.0,6,17,42,374
3,-1.0,22,10,35,375
14,-1.0,0,5,19,376
17,-1.0,2,18,37,377
1,-1.0,2,21,24,378
11,1.0,14,0,25,379
22,1.0,2,12,36,380
17,1.0,0,6,23,381
32,1.0,0,2,34,382
8,-1.0,14,7,29,383
10,1.0,8,5,23,384
1,-1.0,10,5,16,385
13,-1.0,6,3,22,386
8,1.0,1,11,20,387
0,1.0,13,12,25,388
28,1.0,2,1,31,389
15,1.0,4,17,36,390
14,-1.0,10,4,28,391
15,1.0,8,3,26,392
6,-1.0,7,18,31,393
34,1.0,11,0,45,394
2,1.0,27,2,31,395
13,-1.0,6,1,20,396
9,1.0,17,0,26,397
21,1.0,1,10,32,398
31,-1.0,4,2,37,399
2,-1.0,3,18,23,400
22,1.0,4,8,34,401
21,1.0,9,10,40,402
8,1.0,2,10,20,403
13,1.0,15,0,28,404
1,1.0,15,7,23,405
16,-1.0,4,3,23,406
43,-1.0,0,3,46,407
28,-1.0,7,7,42,408
18,-1.0,12,7,37,409
16,1.0,11,3,30,410
9,-1.0,0,16,25,411
7,1.0,3,2,12,412
1,1.0,16,10,27,413
1,1.0,1,14,16,414
0,1.0,1,11,12,415
13,1.0,6,0,19,416
13,-1.0,5,5,23,417
7,1.0,3,3,13,418
12,1.0,6,1,19,419
19,1.0,9,3,31,420
5,1.0,1,5,11,421
26,1.0,12,0,38,422
4,-1.0,11,3,18,423
5,-1.0,10,0,15,424
45,1.0,10,5,60,425
14,-1.0,1,9,24,426
61,1.0,17,4,82,427
24,1.0,15,21,60,428
19,-1.0,23,2,44,429
11,1.0,17,11,39,430
36,1.0,12,0,48,431
1,-1.0,24,11,36,432
45,-1.0,9,0,54,433
16,1.0,4,21,41,434
5,-1.0,9,5,19,435
14,-1.0,2,7,23,436
3,-1.0,15,8,26,437
11,1.0,8,13,32,438
62,-1.0,0,2,64,439
2,-1.0,14,12,28,440
24,-1.0,10,2,36,441
15,1.0,1,10,26,442
1,1.0,8,14,23,443
34,1.0,0,13,47,444
27,-1.0,9,29,65,445
8,-1.0,13,14,35,446
5,-1.0,4,30,39,447
33,-1.0,6,4,43,448
14,1.0,5,22,41,449
11,-1.0,12,7,30,450
17,-1.0,12,2,31,451
10,-1.0,18,7,35,452
8,1.0,4,10,22,453
17,1.0,4,2,23,454
29,-1.0,0,9,38,455
8,1.0,0,14,22,456
16,-1.0,11,10,37,457
34,-1.0,0,5,39,458
1,1.0,14,12,27,459
15,-1.0,0,29,44,460
59,-1.0,0,4,63,461
2,1.0,22,6,30,462
14,1.0,0,25,39,463
20,-1.0,5,3,28,464
21,-1.0,5,9,35,465
56,1.0,1,8,65,466
2,-1.0,17,0,19,467
6,1.0,1,8,15,468
17,1.0,4,0,21,469
18,-1.0,9,0,27,470
2,-1.0,16,5,23,471
3,-1.0,3,8,14,472
11,-1.0,3,1,15,473
7,-1.0,1,12,20,474
6,-1.0,0,12,18,475
17,-1.0,2,4,23,476
12,-1.0,0,10,22,477
1,1.0,5,4,10,478
36,-1.0,3,3,42,479
8,1.0,0,18,26,480
6,-1.0,12,11,29,481
25,1.0,0,0,25,482
8,1.0,4,4,16,483
9,1.0,17,1,27,484
16,-1.0,0,7,23,485
6,1.0,6,5,17,486
10,-1.0,11,0,21,487
1,-1.0,23,2,26,488
21,-1.0,1,8,30,489
22,-1.0,4,17,43,490
8,-1.0,11,20,39,491
18,1.0,6,0,24,492
13,1.0,11,4,28,493
26,-1.0,3,0,29,494
7,1.0,3,28,38,495
7,-1.0,4,7,18,496
21,1.0,0,11,32,497
14,-1.0,0,13,27,498
26,1.0,10,0,36,499
29,1.0,8,1,38,500
23,-1.0,6,0,29,501
15,-1.0,31,2,48,502
4,1.0,7,14,25,503
17,-1.0,1,9,27,504
25,1.0,20,1,46,505
12,-1.0,2,11,25,506
12,-1.0,4,6,22,507
30,1.0,8,0,38,508
27,-1.0,0,14,41,509
5,1.0,9,4,18,510
3,-1.0,14,12,29,511
35,1.0,3,10,48,512
8,-1.0,24,3,35,513
7,1.0,11,1,19,514
14,-1.0,3,5,22,515
19,1.0,1,8,28,516
5,1.0,4,3,12,517
9,-1.0,4,0,13,518
23,1.0,21,2,46,519
1,1.0,2,43,46,520
18,-1.0,18,0,36,521
59,1.0,16,0,75,522
25,-1.0,7,1,33,523
28,1.0,6,0,34,524
30,1.0,0,5,35,525
16,-1.0,6,0,22,526
6,1.0,4,3,13,527
17,-1.0,1,2,20,528
2,1.0,11,3,16,529
7,1.0,6,2,15,530
9,1.0,1,12,22,531
2,-1.0,8,3,13,532
5,1.0,6,6,17,533
26,-1.0,3,1,30,534
15,-1.0,3,16,34,535
25,-1.0,1,0,26,536
73,-1.0,5,26,104,537
82,-1.0,7,0,89,538
110,-1.0,0,71,181,539
35,1.0,18,0,53,540
39,1.0,8,0,47,541
68,-1.0,7,7,82,542
7,-1.0,34,16,57,543
55,-1.0,19,8,82,544
24,1.0,9,40,73,545
22,1.0,29,8,59,546
27,1.0,0,2,29,547
20,-1.0,7,3,30,548
8,-1.0,4,17,29,549
2,1.0,2,36,40,550
9,-1.0,10,14,33,551
26,-1.0,12,1,39,552
3,-1.0,12,6,21,553
47,-1.0,10,1,58,554
6,-1.0,9,3,18,555
1,1.0,17,27,45,556
8,-1.0,13,0,21,557
63,-1.0,0,3,66,558
6,1.0,17,11,34,559
24,-1.0,3,11,38,560
23,1.0,34,4,61,561
41,1.0,0,5,46,562
15,1.0,3,25,43,563
39,1.0,16,0,55,564
10,1.0,1,13,24,565
27,1.0,22,20,69,566
53,1.0,0,5,58,567
81,1.0,3,2,86,568
32,1.0,41,3,76,569
26,1.0,0,41,67,570
53,-1.0,6,6,65,571
37,-1.0,25,0,62,572
36,1.0,16,0,52,573
56,1.0,11,0,67,574
20,-1.0,14,23,57,575
37,1.0,15,12,64,576
57,1.0,12,1,70,577
5,1.0,26,6,37,578
23,1.0,8,32,63,579
30,1.0,35,5,70,580
11,-1.0,43,3,57,581
1,1.0,16,27,44,582
12,-1.0,1,27,40,583
35,-1.0,15,6,56,584
23,1.0,0,3,26,585
3,1.0,16,1,20,586
22,-1.0,2,5,29,587
23,-1.0,7,1,31,588
3,1.0,6,22,31,589
27,-1.0,47,16,90,590
10,1.0,19,42,71,591
65,1.0,31,34,130,592
40,1.0,7,12,59,593
34,-1.0,0,25,59,594
23,1.0,20,0,43,595
36,-1.0,2,6,44,596
16,-1.0,15,11,42,597
14,-1.0,25,0,39,598
21,-1.0,1,11,33,599
3,-1.0,4,22,29,600
75,1.0,0,0,75,601
5,1.0,4,26,35,602
20,-1.0,4,5,29,603
6,-1.0,24,0,30,604
39,1.0,5,4,48,605
33,1.0,11,21,65,606
1,-1.0,27,11,39,607
2,1.0,15,22,39,608
25,1.0,3,3,31,609
15,1.0,3,13,31,610
13,1.0,6,9,28,611
22,1.0,15,2,39,612
41,1.0,2,3,46,613
15,1.0,9,5,29,614
45,-1.0,2,0,47,615
36,1.0,4,0,40,616
11,1.0,17,0,28,617
0,1.0,6,14,20,618
8,-1.0,13,1,22,619
16,-1.0,2,11,29,620
14,1.0,1,1,16,621
52,1.0,2,0,54,622
21,-1.0,7,0,28,623
18,1.0,10,0,28,624
29,1.0,5,1,35,625
9,-1.0,2,14,25,626
7,-1.0,4,5,16,627
2,-1.0,11,6,19,628
1,-1.0,10,3,14,629
16,-1.0,4,7,27,630
72,1.0,2,2,76,631
5,1.0,19,9,33,632
35,1.0,18,1,54,633
6,1.0,4,5,15,634
6,1.0,15,6,27,635
14,-1.0,4,13,31,636
21,1.0,3,11,35,637
69,1.0,10,0,79,638
67,-1.0,7,0,74,639
20,-1.0,15,19,54,640
25,1.0,23,0,48,641
120,-1.0,1,12,133,642
36,1.0,13,13,62,643
14,1.0,30,18,62,644
13,-1.0,24,0,37,645
6,-1.0,22,17,45,646
15,-1.0,14,11,40,647
23,-1.0,0,18,41,648
47,-1.0,8,7,62,649
43,1.0,5,17,65,650
76,-1.0,4,9,89,651
3,-1.0,37,16,56,652
34,1.0,23,0,57,653
9,1.0,7,16,32,654
31,1.0,1,14,46,655
24,-1.0,2,15,41,656
16,-1.0,1,17,34,657
12,1.0,4,9,25,658
13,1.0,25,7,45,659
0,1.0,9,10,19,660
