bd,sn,uw,lw,sz,id
3,-1.0,8,31,42,7227
12,-1.0,14,10,36,7228
27,-1.0,0,16,43,7229
16,-1.0,9,15,40,7230
3,1.0,12,11,26,7231
12,1.0,10,0,22,7232
33,1.0,2,0,35,7233
9,-1.0,6,6,21,7234
77,1.0,3,7,87,7235
31,-1.0,6,13,50,7236
3,-1.0,8,6,17,7237
21,-1.0,1,6,28,7238
19,-1.0,10,1,30,7239
1,-1.0,4,17,22,7240
11,1.0,19,6,36,7241
1,1.0,4,15,20,7242
21,-1.0,3,18,42,7243
1,1.0,22,8,31,7244
6,-1.0,15,4,25,7245
15,-1.0,1,10,26,7246
19,-1.0,2,9,30,7247
25,1.0,7,7,39,7248
11,-1.0,10,2,23,7249
9,1.0,10,12,31,7250
12,1.0,6,16,34,7251
4,1.0,9,8,21,7252
41,-1.0,3,3,47,7253
4,-1.0,4,17,25,7254
0,1.0,13,3,16,7255
23,-1.0,5,0,28,7256
25,1.0,10,4,39,7257
22,1.0,22,1,45,7258
36,1.0,0,0,36,7259
4,-1.0,12,11,27,7260
8,-1.0,14,10,32,7261
10,-1.0,15,0,25,7262
9,1.0,9,11,29,7263
3,1.0,5,26,34,7264
18,1.0,13,1,32,7265
8,1.0,11,9,28,7266
28,-1.0,1,13,42,7267
44,-1.0,7,2,53,7268
11,-1.0,0,18,29,7269
75,-1.0,13,15,103,7270
36,-1.0,1,24,61,7271
66,-1.0,1,39,106,7272
25,-1.0,0,20,45,7273
45,1.0,0,1,46,7274
6,1.0,9,10,25,7275
31,1.0,11,0,42,7276
24,-1.0,17,3,44,7277
20,1.0,11,6,37,7278
10,-1.0,1,11,22,7279
4,-1.0,12,0,16,7280
14,-1.0,0,6,20,7281
14,1.0,4,4,22,7282
11,-1.0,5,14,30,7283
5,-1.0,7,7,19,7284
26,-1.0,1,6,33,7285
1,-1.0,5,17,23,7286
0,-1.0,8,10,18,7287
5,-1.0,10,4,19,7288
0,1.0,10,11,21,7289
12,-1.0,5,7,24,7290
1,-1.0,19,6,26,7291
31,-1.0,0,6,37,7292
5,1.0,13,3,21,7293
11,-1.0,9,0,20,7294
7,-1.0,0,14,21,7295
2,-1.0,4,11,17,7296
2,1.0,17,3,22,7297
12,-1.0,10,7,29,7298
37,1.0,15,3,55,7299
15,-1.0,0,17,32,7300
2,-1.0,1,22,25,7301
25,1.0,2,3,30,7302
44,1.0,1,0,45,7303
68,1.0,24,11,103,7304
17,1.0,18,0,35,7305
4,-1.0,10,9,23,7306
11,1.0,4,22,37,7307
25,-1.0,6,3,34,7308
6,1.0,7,2,15,7309
31,1.0,5,1,37,7310
18,-1.0,5,2,25,7311
2,-1.0,3,4,9,7312
3,-1.0,4,5,12,7313
4,1.0,12,1,17,7314
6,1.0,0,7,13,7315
0,1.0,7,6,13,7316
3,-1.0,1,19,23,7317
34,-1.0,0,1,35,7318
2,1.0,5,2,9,7319
0,-1.0,1,13,14,7320
5,1.0,3,4,12,7321
10,1.0,8,11,29,7322
2,1.0,7,4,13,7323
1,-1.0,1,27,29,7324
4,-1.0,2,20,26,7325
13,1.0,9,1,23,7326
0,1.0,3,5,8,7327
36,1.0,4,1,41,7328
11,1.0,6,12,29,7329
6,1.0,10,1,17,7330
14,1.0,29,0,43,7331
30,1.0,6,5,41,7332
39,-1.0,6,0,45,7333
13,-1.0,7,3,23,7334
36,1.0,1,4,41,7335
1,1.0,3,11,15,7336
22,-1.0,5,1,28,7337
7,1.0,13,1,21,7338
2,-1.0,2,14,18,7339
3,-1.0,2,10,15,7340
0,-1.0,9,10,19,7341
4,1.0,4,1,9,7342
1,1.0,3,2,6,7343
2,-1.0,4,0,6,7344
15,-1.0,0,0,15,7345
7,1.0,0,3,10,7346
4,-1.0,1,3,8,7347
2,-1.0,13,2,17,7348
0,0.0,7,4,11,7349
18,1.0,4,5,27,7350
3,1.0,2,5,10,7351
6,-1.0,1,0,7,7352
1,-1.0,7,6,14,7353
14,-1.0,1,1,16,7354
12,-1.0,1,1,14,7355
16,-1.0,3,7,26,7356
4,-1.0,24,29,57,7357
55,-1.0,0,13,68,7358
6,1.0,3,15,24,7359
2,1.0,18,3,23,7360
3,-1.0,5,1,9,7361
9,-1.0,2,17,28,7362
5,-1.0,18,50,73,7363
11,1.0,24,0,35,7364
8,-1.0,5,10,23,7365
2,1.0,12,2,16,7366
11,1.0,2,5,18,7367
6,1.0,4,6,16,7368
29,-1.0,1,18,48,7369
26,-1.0,1,11,38,7370
70,-1.0,0,3,73,7371
19,1.0,0,5,24,7372
43,-1.0,3,8,54,7373
13,1.0,4,1,18,7374
33,-1.0,0,1,34,7375
33,1.0,1,7,41,7376
34,1.0,3,3,40,7377
9,1.0,11,3,23,7378
12,1.0,2,12,26,7379
2,-1.0,19,2,23,7380
34,-1.0,5,0,39,7381
24,1.0,1,4,29,7382
14,-1.0,6,0,20,7383
17,-1.0,0,4,21,7384
4,-1.0,8,1,13,7385
6,-1.0,4,3,13,7386
30,-1.0,11,0,41,7387
14,-1.0,0,28,42,7388
32,1.0,1,2,35,7389
10,1.0,7,3,20,7390
0,-1.0,8,15,23,7391
80,-1.0,1,17,98,7392
49,-1.0,10,5,64,7393
0,0.0,25,11,36,7394
5,1.0,0,21,26,7395
6,-1.0,6,11,23,7396
23,-1.0,0,23,46,7397
33,1.0,0,16,49,7398
10,1.0,3,12,25,7399
22,-1.0,2,3,27,7400
22,-1.0,4,6,32,7401
19,-1.0,3,0,22,7402
25,-1.0,5,2,32,7403
11,1.0,4,17,32,7404
6,1.0,3,0,9,7405
11,1.0,1,6,18,7406
18,1.0,12,8,38,7407
1,-1.0,1,13,15,7408
24,1.0,12,2,38,7409
14,-1.0,1,4,19,7410
1,1.0,10,16,27,7411
17,1.0,3,10,30,7412
8,-1.0,1,10,19,7413
4,-1.0,2,22,28,7414
24,1.0,11,3,38,7415
19,1.0,3,7,29,7416
18,1.0,0,1,19,7417
43,-1.0,4,2,49,7418
5,-1.0,2,25,32,7419
6,-1.0,4,12,22,7420
29,-1.0,25,18,72,7421
4,-1.0,0,34,38,7422
54,1.0,0,4,58,7423
44,-1.0,0,4,48,7424
9,1.0,0,16,25,7425
26,1.0,4,11,41,7426
7,-1.0,4,13,24,7427
11,-1.0,16,2,29,7428
30,-1.0,0,2,32,7429
5,-1.0,11,3,19,7430
6,1.0,1,17,24,7431
3,-1.0,9,1,13,7432
24,1.0,17,1,42,7433
5,-1.0,7,16,28,7434
22,1.0,2,5,29,7435
3,-1.0,4,10,17,7436
16,1.0,0,5,21,7437
19,-1.0,1,2,22,7438
0,-1.0,10,12,22,7439
10,-1.0,1,12,23,7440
1,-1.0,1,21,23,7441
23,1.0,6,6,35,7442
4,-1.0,0,8,12,7443
17,-1.0,1,17,35,7444
46,1.0,5,0,51,7445
27,-1.0,9,1,37,7446
18,-1.0,1,19,38,7447
15,1.0,0,9,24,7448
7,1.0,23,0,30,7449
9,-1.0,5,13,27,7450
6,-1.0,11,11,28,7451
9,1.0,1,9,19,7452
74,1.0,14,0,88,7453
37,-1.0,4,13,54,7454
27,1.0,6,1,34,7455
41,1.0,0,1,42,7456
19,-1.0,15,0,34,7457
2,-1.0,1,17,20,7458
18,1.0,1,0,19,7459
2,1.0,6,5,13,7460
44,-1.0,2,10,56,7461
2,1.0,5,12,19,7462
8,1.0,5,14,27,7463
7,1.0,4,8,19,7464
23,-1.0,3,0,26,7465
10,1.0,2,9,21,7466
9,1.0,18,11,38,7467
5,-1.0,6,3,14,7468
38,1.0,10,0,48,7469
0,-1.0,6,10,16,7470
3,1.0,15,0,18,7471
3,-1.0,1,13,17,7472
6,-1.0,3,7,16,7473
2,1.0,15,0,17,7474
26,-1.0,0,19,45,7475
18,1.0,4,6,28,7476
27,1.0,18,0,45,7477
30,-1.0,0,0,30,7478
40,1.0,3,0,43,7479
22,-1.0,4,1,27,7480
0,-1.0,12,1,13,7481
43,-1.0,1,1,45,7482
43,-1.0,0,17,60,7483
19,1.0,20,3,42,7484
27,1.0,0,17,44,7485
5,1.0,18,11,34,7486
11,1.0,0,27,38,7487
2,1.0,0,16,18,7488
10,-1.0,9,2,21,7489
5,1.0,11,3,19,7490
8,-1.0,4,5,17,7491
19,-1.0,2,1,22,7492
6,-1.0,1,12,19,7493
8,-1.0,1,19,28,7494
9,1.0,10,14,33,7495
98,-1.0,4,0,102,7496
10,1.0,19,23,52,7497
21,1.0,4,2,27,7498
19,-1.0,1,11,31,7499
16,-1.0,1,3,20,7500
46,-1.0,0,17,63,7501
31,1.0,3,1,35,7502
26,1.0,2,6,34,7503
10,1.0,9,6,25,7504
24,-1.0,2,0,26,7505
15,-1.0,1,8,24,7506
26,1.0,5,2,33,7507
54,1.0,8,3,65,7508
7,1.0,18,2,27,7509
1,-1.0,18,11,30,7510
3,-1.0,10,19,32,7511
4,1.0,11,4,19,7512
8,-1.0,4,7,19,7513
4,-1.0,13,1,18,7514
23,1.0,8,35,66,7515
1,1.0,12,30,43,7516
14,1.0,4,19,37,7517
13,-1.0,13,2,28,7518
42,-1.0,3,2,47,7519
7,1.0,4,17,28,7520
1,1.0,0,26,27,7521
8,-1.0,5,9,22,7522
9,1.0,1,11,21,7523
19,-1.0,3,3,25,7524
8,1.0,8,8,24,7525
23,-1.0,0,0,23,7526
5,1.0,5,10,20,7527
30,1.0,1,2,33,7528
18,1.0,21,0,39,7529
0,-1.0,2,24,26,7530
19,-1.0,3,14,36,7531
41,-1.0,10,6,57,7532
11,1.0,9,9,29,7533
15,-1.0,2,18,35,7534
4,-1.0,2,25,31,7535
22,1.0,5,4,31,7536
10,1.0,0,11,21,7537
7,-1.0,9,3,19,7538
6,-1.0,9,16,31,7539
24,1.0,3,3,30,7540
5,1.0,5,17,27,7541
29,1.0,0,2,31,7542
1,1.0,6,5,12,7543
18,-1.0,3,7,28,7544
5,1.0,10,7,22,7545
2,1.0,9,1,12,7546
41,1.0,22,11,74,7547
0,0.0,9,18,27,7548
7,1.0,3,8,18,7549
3,-1.0,2,13,18,7550
11,1.0,4,2,17,7551
32,1.0,2,5,39,7552
20,1.0,14,1,35,7553
1,1.0,29,1,31,7554
2,1.0,10,4,16,7555
0,0.0,1,6,7,7556
4,-1.0,2,2,8,7557
1,-1.0,1,6,8,7558
6,-1.0,1,2,9,7559
7,-1.0,5,1,13,7560
7,1.0,14,10,31,7561
8,1.0,1,18,27,7562
13,-1.0,8,3,24,7563
0,-1.0,16,2,18,7564
11,1.0,1,4,16,7565
14,-1.0,0,3,17,7566
25,-1.0,6,13,44,7567
6,-1.0,9,37,52,7568
31,-1.0,7,3,41,7569
6,1.0,8,18,32,7570
10,1.0,3,19,32,7571
10,1.0,14,1,25,7572
10,-1.0,10,3,23,7573
11,-1.0,1,10,22,7574
3,1.0,1,2,6,7575
6,-1.0,1,1,8,7576
0,1.0,3,2,5,7577
3,1.0,10,2,15,7578
5,1.0,2,3,10,7579
9,-1.0,2,0,11,7580
11,1.0,1,1,13,7581
17,-1.0,8,3,28,7582
3,-1.0,14,7,24,7583
27,-1.0,1,9,37,7584
17,1.0,3,1,21,7585
5,1.0,2,13,20,7586
6,-1.0,0,10,16,7587
5,1.0,8,1,14,7588
0,-1.0,3,9,12,7589
0,0.0,3,15,18,7590
6,1.0,6,0,12,7591
1,-1.0,5,5,11,7592
29,1.0,35,10,74,7593
4,1.0,30,0,34,7594
9,-1.0,4,10,23,7595
2,-1.0,9,11,22,7596
7,1.0,2,15,24,7597
10,-1.0,14,2,26,7598
44,-1.0,1,9,54,7599
2,1.0,15,13,30,7600
24,1.0,2,3,29,7601
10,-1.0,7,5,22,7602
26,-1.0,0,17,43,7603
5,1.0,0,15,20,7604
4,1.0,5,2,11,7605
5,1.0,0,3,8,7606
17,-1.0,1,6,24,7607
22,1.0,2,1,25,7608
17,1.0,9,2,28,7609
7,1.0,2,10,19,7610
4,1.0,10,7,21,7611
31,1.0,8,1,40,7612
13,1.0,4,2,19,7613
12,1.0,1,10,23,7614
32,-1.0,2,4,38,7615
1,-1.0,14,8,23,7616
24,-1.0,10,27,61,7617
2,-1.0,15,26,43,7618
19,-1.0,6,8,33,7619
2,-1.0,12,8,22,7620
13,-1.0,0,11,24,7621
4,-1.0,1,11,16,7622
1,1.0,7,5,13,7623
3,1.0,1,3,7,7624
1,-1.0,4,2,7,7625
15,1.0,5,2,22,7626
19,-1.0,1,12,32,7627
21,1.0,3,10,34,7628
0,1.0,10,4,14,7629
10,-1.0,7,6,23,7630
41,-1.0,4,1,46,7631
6,1.0,13,9,28,7632
3,1.0,6,12,21,7633
32,-1.0,2,7,41,7634
11,1.0,15,17,43,7635
33,1.0,5,4,42,7636
2,1.0,3,11,16,7637
19,1.0,0,8,27,7638
11,1.0,8,1,20,7639
1,-1.0,40,12,53,7640
19,-1.0,11,6,36,7641
0,-1.0,16,7,23,7642
7,-1.0,8,4,19,7643
2,-1.0,11,4,17,7644
6,-1.0,5,6,17,7645
4,-1.0,3,14,21,7646
7,1.0,2,0,9,7647
3,-1.0,0,7,10,7648
1,-1.0,2,3,6,7649
2,1.0,2,1,5,7650
13,-1.0,4,12,29,7651
0,1.0,8,10,18,7652
2,1.0,1,15,18,7653
4,1.0,20,0,24,7654
5,-1.0,3,11,19,7655
18,1.0,11,6,35,7656
8,-1.0,6,10,24,7657
41,1.0,0,2,43,7658
16,-1.0,3,9,28,7659
9,-1.0,1,7,17,7660
20,1.0,2,1,23,7661
6,1.0,3,8,17,7662
4,1.0,1,2,7,7663
2,1.0,1,2,5,7664
8,1.0,1,0,9,7665
3,1.0,0,4,7,7666
0,-1.0,12,5,17,7667
5,1.0,14,0,19,7668
17,-1.0,2,7,26,7669
47,-1.0,1,4,52,7670
10,-1.0,0,36,46,7671
7,-1.0,6,8,21,7672
35,-1.0,1,16,52,7673
21,1.0,11,2,34,7674
1,1.0,4,19,24,7675
46,-1.0,18,6,70,7676
11,1.0,6,4,21,7677
8,1.0,6,12,26,7678
28,-1.0,5,1,34,7679
33,1.0,9,0,42,7680
6,-1.0,2,14,22,7681
10,-1.0,12,9,31,7682
33,-1.0,1,0,34,7683
26,-1.0,3,2,31,7684
0,1.0,8,5,13,7685
10,-1.0,0,14,24,7686
14,-1.0,9,29,52,7687
12,-1.0,19,3,34,7688
9,-1.0,20,6,35,7689
1,-1.0,10,18,29,7690
3,1.0,7,1,11,7691
18,-1.0,0,9,27,7692
0,-1.0,10,3,13,7693
6,1.0,5,10,21,7694
0,1.0,2,6,8,7695
21,-1.0,1,0,22,7696
20,1.0,1,4,25,7697
18,1.0,11,2,31,7698
29,-1.0,1,1,31,7699
14,-1.0,3,4,21,7700
1,-1.0,6,11,18,7701
16,-1.0,3,10,29,7702
8,1.0,9,5,22,7703
0,-1.0,8,26,34,7704
17,-1.0,8,5,30,7705
5,1.0,15,10,30,7706
35,1.0,0,2,37,7707
1,-1.0,15,9,25,7708
11,-1.0,4,20,35,7709
30,1.0,5,1,36,7710
22,1.0,1,11,34,7711
33,-1.0,1,3,37,7712
36,-1.0,3,0,39,7713
11,-1.0,13,16,40,7714
9,-1.0,21,0,30,7715
0,1.0,17,3,20,7716
27,-1.0,2,2,31,7717
6,-1.0,2,17,25,7718
31,1.0,2,0,33,7719
5,-1.0,5,5,15,7720
3,1.0,12,0,15,7721
3,1.0,1,5,9,7722
0,1.0,5,3,8,7723
19,1.0,1,1,21,7724
6,-1.0,0,2,8,7725
1,1.0,2,5,8,7726
12,1.0,8,4,24,7727
14,1.0,3,3,20,7728
4,-1.0,2,1,7,7729
8,-1.0,0,10,18,7730
10,-1.0,1,17,28,7731
9,1.0,1,7,17,7732
15,1.0,3,7,25,7733
22,1.0,12,2,36,7734
27,1.0,9,2,38,7735
19,1.0,10,0,29,7736
11,-1.0,2,4,17,7737
37,1.0,8,1,46,7738
22,1.0,3,12,37,7739
0,1.0,3,7,10,7740
3,1.0,2,0,5,7741
5,1.0,11,1,17,7742
8,1.0,11,2,21,7743
42,1.0,3,2,47,7744
6,-1.0,10,3,19,7745
1,-1.0,5,11,17,7746
2,-1.0,3,5,10,7747
28,1.0,2,3,33,7748
14,-1.0,6,5,25,7749
5,1.0,14,2,21,7750
9,1.0,16,1,26,7751
28,1.0,10,4,42,7752
39,1.0,2,0,41,7753
9,-1.0,8,3,20,7754
6,-1.0,8,3,17,7755
18,1.0,11,1,30,7756
37,-1.0,2,4,43,7757
28,1.0,1,2,31,7758
33,-1.0,5,0,38,7759
15,-1.0,1,5,21,7760
1,1.0,4,1,6,7761
5,1.0,1,3,9,7762
11,-1.0,6,0,17,7763
14,1.0,13,1,28,7764
4,1.0,6,0,10,7765
42,-1.0,9,3,54,7766
26,1.0,7,1,34,7767
3,-1.0,5,12,20,7768
27,-1.0,3,4,34,7769
42,-1.0,1,0,43,7770
2,-1.0,4,18,24,7771
4,1.0,14,4,22,7772
37,1.0,7,21,65,7773
14,-1.0,25,3,42,7774
25,-1.0,1,5,31,7775
56,-1.0,1,3,60,7776
5,-1.0,0,13,18,7777
2,-1.0,0,6,8,7778
18,-1.0,0,22,40,7779
13,-1.0,0,0,13,7780
1,1.0,10,6,17,7781
23,-1.0,2,15,40,7782
30,1.0,0,1,31,7783
19,1.0,1,3,23,7784
27,-1.0,7,1,35,7785
24,-1.0,9,1,34,7786
5,-1.0,9,3,17,7787
24,-1.0,3,9,36,7788
34,-1.0,5,25,64,7789
19,1.0,2,35,56,7790
3,1.0,1,30,34,7791
37,1.0,1,2,40,7792
1,1.0,16,11,28,7793
21,-1.0,0,16,37,7794
9,1.0,2,15,26,7795
29,-1.0,4,3,36,7796
5,1.0,0,13,18,7797
7,-1.0,8,6,21,7798
16,1.0,0,4,20,7799
5,-1.0,1,4,10,7800
1,1.0,3,1,5,7801
7,1.0,8,2,17,7802
17,1.0,1,4,22,7803
24,1.0,3,1,28,7804
6,-1.0,16,2,24,7805
13,1.0,7,6,26,7806
1,1.0,14,3,18,7807
7,-1.0,8,8,23,7808
3,-1.0,6,13,22,7809
13,-1.0,7,5,25,7810
9,-1.0,3,0,12,7811
54,1.0,29,0,83,7812
13,-1.0,3,13,29,7813
0,-1.0,9,2,11,7814
0,1.0,15,1,16,7815
6,-1.0,3,0,9,7816
3,-1.0,8,7,18,7817
5,-1.0,7,9,21,7818
0,1.0,11,3,14,7819
1,-1.0,0,6,7,7820
10,-1.0,0,0,10,7821
7,-1.0,1,1,9,7822
0,-1.0,1,2,3,7823
2,1.0,0,8,10,7824
2,1.0,13,3,18,7825
16,-1.0,0,17,33,7826
14,-1.0,24,10,48,7827
81,-1.0,12,6,99,7828
0,-1.0,18,13,31,7829
10,1.0,5,2,17,7830
3,-1.0,11,2,16,7831
32,-1.0,3,6,41,7832
4,1.0,11,1,16,7833
6,1.0,8,0,14,7834
10,1.0,16,1,27,7835
4,-1.0,10,2,16,7836
9,-1.0,0,13,22,7837
19,-1.0,1,13,33,7838
1,1.0,5,11,17,7839
26,1.0,3,0,29,7840
0,-1.0,2,12,14,7841
6,-1.0,10,2,18,7842
5,1.0,0,0,5,7843
14,-1.0,7,1,22,7844
25,1.0,2,2,29,7845
29,-1.0,4,0,33,7846
5,-1.0,15,3,23,7847
28,-1.0,5,2,35,7848
36,-1.0,1,13,50,7849
27,1.0,13,6,46,7850
25,-1.0,2,1,28,7851
11,1.0,2,6,19,7852
3,-1.0,0,38,41,7853
6,-1.0,14,13,33,7854
5,-1.0,14,11,30,7855
6,1.0,1,25,32,7856
21,-1.0,1,14,36,7857
10,1.0,4,12,26,7858
4,1.0,0,8,12,7859
8,-1.0,10,2,20,7860
12,1.0,8,6,26,7861
3,1.0,9,4,16,7862
10,1.0,0,8,18,7863
26,-1.0,1,8,35,7864
22,1.0,7,7,36,7865
6,-1.0,2,13,21,7866
4,-1.0,0,10,14,7867
7,-1.0,6,9,22,7868
3,1.0,11,8,22,7869
13,-1.0,8,1,22,7870
54,1.0,1,4,59,7871
13,-1.0,7,11,31,7872
49,-1.0,0,9,58,7873
29,-1.0,0,19,48,7874
8,1.0,6,15,29,7875
8,1.0,16,3,27,7876
16,1.0,4,5,25,7877
5,1.0,7,7,19,7878
60,-1.0,3,3,66,7879
26,-1.0,7,1,34,7880
10,-1.0,1,25,36,7881
16,1.0,6,6,28,7882
6,-1.0,16,0,22,7883
11,-1.0,0,8,19,7884
27,1.0,7,3,37,7885
0,0.0,2,8,10,7886
6,1.0,1,9,16,7887
42,1.0,8,2,52,7888
6,-1.0,2,16,24,7889
6,1.0,3,12,21,7890
40,1.0,9,0,49,7891
3,-1.0,16,3,22,7892
1,-1.0,15,6,22,7893
4,1.0,26,1,31,7894
3,1.0,7,8,18,7895
15,-1.0,10,2,27,7896
13,1.0,6,7,26,7897
16,1.0,4,6,26,7898
37,-1.0,4,0,41,7899
13,-1.0,8,10,31,7900
5,-1.0,11,6,22,7901
15,-1.0,8,1,24,7902
16,1.0,16,1,33,7903
2,-1.0,27,70,99,7904
61,1.0,4,8,73,7905
5,1.0,3,5,13,7906
28,1.0,7,0,35,7907
0,1.0,9,1,10,7908
9,-1.0,1,3,13,7909
13,1.0,0,1,14,7910
1,1.0,1,11,13,7911
14,-1.0,1,0,15,7912
15,1.0,1,6,22,7913
7,-1.0,15,4,26,7914
5,-1.0,2,2,9,7915
32,-1.0,5,16,53,7916
3,-1.0,13,5,21,7917
14,-1.0,4,0,18,7918
16,-1.0,10,2,28,7919
20,1.0,1,6,27,7920
16,1.0,12,0,28,7921
2,1.0,0,13,15,7922
51,1.0,27,5,83,7923
2,-1.0,3,35,40,7924
11,-1.0,10,3,24,7925
38,-1.0,1,4,43,7926
34,-1.0,0,4,38,7927
9,-1.0,16,5,30,7928
18,-1.0,2,2,22,7929
0,1.0,6,17,23,7930
12,1.0,0,5,17,7931
5,1.0,4,2,11,7932
13,-1.0,6,2,21,7933
7,-1.0,20,2,29,7934
11,-1.0,1,8,20,7935
12,1.0,5,7,24,7936
34,-1.0,1,6,41,7937
6,-1.0,7,7,20,7938
12,1.0,2,10,24,7939
1,1.0,11,8,20,7940
27,1.0,5,2,34,7941
10,1.0,4,7,21,7942
13,-1.0,18,21,52,7943
4,1.0,8,23,35,7944
2,1.0,6,10,18,7945
11,-1.0,2,8,21,7946
8,-1.0,1,23,32,7947
5,1.0,0,14,19,7948
12,1.0,5,1,18,7949
8,1.0,2,3,13,7950
0,1.0,5,1,6,7951
5,-1.0,2,13,20,7952
2,-1.0,5,6,13,7953
3,1.0,21,3,27,7954
1,-1.0,5,9,15,7955
6,-1.0,4,9,19,7956
9,-1.0,14,0,23,7957
6,1.0,7,3,16,7958
27,1.0,4,2,33,7959
33,1.0,18,0,51,7960
7,1.0,10,1,18,7961
52,1.0,10,1,63,7962
40,1.0,8,9,57,7963
10,-1.0,3,10,23,7964
52,1.0,4,0,56,7965
6,-1.0,11,8,25,7966
13,1.0,13,3,29,7967
10,1.0,11,3,24,7968
7,-1.0,0,5,12,7969
13,1.0,5,1,19,7970
0,1.0,7,0,7,7971
1,-1.0,4,1,6,7972
8,1.0,16,2,26,7973
51,-1.0,1,0,52,7974
5,-1.0,5,31,41,7975
7,-1.0,19,0,26,7976
90,-1.0,0,13,103,7977
14,1.0,18,10,42,7978
7,1.0,26,0,33,7979
69,-1.0,5,15,89,7980
16,1.0,12,5,33,7981
18,1.0,1,7,26,7982
23,-1.0,3,12,38,7983
7,1.0,21,5,33,7984
0,-1.0,10,8,18,7985
40,1.0,0,7,47,7986
33,1.0,6,2,41,7987
1,-1.0,21,5,27,7988
18,1.0,3,7,28,7989
11,1.0,0,19,30,7990
3,1.0,6,8,17,7991
27,1.0,39,3,69,7992
23,-1.0,11,10,44,7993
32,-1.0,9,6,47,7994
6,-1.0,17,0,23,7995
8,-1.0,5,4,17,7996
3,-1.0,5,16,24,7997
7,1.0,6,5,18,7998
1,-1.0,6,10,17,7999
2,-1.0,1,5,8,8000
4,1.0,4,0,8,8001
18,-1.0,1,1,20,8002
3,-1.0,6,0,9,8003
3,-1.0,8,0,11,8004
2,-1.0,13,0,15,8005
4,-1.0,4,5,13,8006
38,-1.0,10,27,75,8007
12,-1.0,4,21,37,8008
49,-1.0,1,10,60,8009
24,1.0,1,9,34,8010
35,1.0,1,1,37,8011
2,1.0,5,14,21,8012
0,1.0,14,2,16,8013
3,1.0,5,0,8,8014
0,-1.0,4,1,5,8015
0,-1.0,4,2,6,8016
4,1.0,4,7,15,8017
4,1.0,8,6,18,8018
0,0.0,6,5,11,8019
8,-1.0,1,6,15,8020
16,-1.0,2,16,34,8021
22,1.0,2,10,34,8022
1,1.0,10,7,18,8023
15,1.0,2,7,24,8024
20,-1.0,18,11,49,8025
8,1.0,47,0,55,8026
0,1.0,18,1,19,8027
19,1.0,9,0,28,8028
0,0.0,1,5,6,8029
0,-1.0,2,3,5,8030
3,-1.0,1,1,5,8031
8,1.0,4,2,14,8032
3,-1.0,1,14,18,8033
31,-1.0,3,4,38,8034
22,-1.0,1,3,26,8035
15,1.0,3,6,24,8036
5,-1.0,13,3,21,8037
11,1.0,8,3,22,8038
10,-1.0,12,8,30,8039
62,-1.0,4,0,66,8040
1,-1.0,8,17,26,8041
12,1.0,21,0,33,8042
6,-1.0,8,5,19,8043
20,-1.0,1,3,24,8044
25,1.0,40,0,65,8045
6,-1.0,22,0,28,8046
22,-1.0,1,6,29,8047
5,1.0,10,14,29,8048
10,1.0,9,7,26,8049
23,-1.0,6,11,40,8050
34,-1.0,0,2,36,8051
1,-1.0,13,1,15,8052
18,-1.0,1,9,28,8053
17,-1.0,0,7,24,8054
5,-1.0,2,14,21,8055
9,1.0,3,7,19,8056
8,1.0,0,1,9,8057
0,1.0,2,4,6,8058
5,1.0,17,0,22,8059
14,-1.0,4,8,26,8060
3,-1.0,13,0,16,8061
4,1.0,11,3,18,8062
2,-1.0,9,0,11,8063
86,-1.0,0,3,89,8064
18,1.0,16,1,35,8065
14,1.0,1,9,24,8066
4,1.0,0,2,6,8067
0,1.0,1,12,13,8068
5,1.0,0,7,12,8069
29,-1.0,4,5,38,8070
4,1.0,3,20,27,8071
11,-1.0,2,10,23,8072
3,-1.0,0,14,17,8073
56,-1.0,0,5,61,8074
18,1.0,0,15,33,8075
0,0.0,12,6,18,8076
11,-1.0,10,0,21,8077
7,1.0,11,4,22,8078
4,-1.0,1,2,7,8079
5,-1.0,1,0,6,8080
7,1.0,3,5,15,8081
21,-1.0,5,2,28,8082
17,-1.0,15,2,34,8083
14,-1.0,12,0,26,8084
9,1.0,12,4,25,8085
14,1.0,15,3,32,8086
0,-1.0,14,4,18,8087
0,1.0,13,5,18,8088
24,-1.0,8,11,43,8089
9,1.0,20,0,29,8090
32,1.0,7,4,43,8091
38,-1.0,1,6,45,8092
12,1.0,1,9,22,8093
6,1.0,3,9,18,8094
18,1.0,39,0,57,8095
13,1.0,1,10,24,8096
28,-1.0,3,19,50,8097
3,1.0,5,15,23,8098
0,1.0,14,0,14,8099
18,-1.0,4,6,28,8100
8,-1.0,1,0,9,8101
16,1.0,4,7,27,8102
24,-1.0,7,2,33,8103
4,1.0,3,13,20,8104
1,1.0,2,10,13,8105
29,-1.0,7,2,38,8106
7,1.0,3,10,20,8107
2,-1.0,7,14,23,8108
10,-1.0,6,11,27,8109
4,-1.0,9,1,14,8110
22,-1.0,7,1,30,8111
31,-1.0,6,1,38,8112
35,-1.0,4,9,48,8113
1,-1.0,18,9,28,8114
18,-1.0,4,18,40,8115
8,-1.0,5,3,16,8116
28,1.0,2,5,35,8117
1,-1.0,2,16,19,8118
5,1.0,43,10,58,8119
7,-1.0,1,20,28,8120
7,1.0,14,0,21,8121
14,1.0,12,1,27,8122
8,1.0,5,1,14,8123
0,1.0,8,1,9,8124
2,-1.0,1,3,6,8125
6,-1.0,2,9,17,8126
