close,datetime,high,low,open,date,time,ema,day,position
25979.75,2025-10-29 09:15:00,26022.05,25968.35,25979.9,2025-10-29,09:15:00,25979.75,2,1
25988.55,2025-10-29 09:20:00,25992.5,25968.4,25980.55,2025-10-29,09:20:00,25980.588095238094,2,2
26010.0,2025-10-29 09:25:00,26016.85,25988.15,25990.3,2025-10-29,09:25:00,25983.389229024942,2,3
25996.35,2025-10-29 09:30:00,26024.8,25996.3,26010.75,2025-10-29,09:30:00,25984.62358816542,2,4
25965.2,2025-10-29 09:35:00,25996.9,25963.35,25996.9,2025-10-29,09:35:00,25982.773722625854,2,5
25972.3,2025-10-29 09:40:00,25975.25,25960.55,25965.7,2025-10-29,09:40:00,25981.776225232916,2,6
25968.15,2025-10-29 09:45:00,25995.5,25965.0,25970.55,2025-10-29,09:45:00,25980.47848949645,2,7
25988.2,2025-10-29 09:50:00,25988.75,25966.0,25968.15,2025-10-29,09:50:00,25981.21387144917,2,8
25983.7,2025-10-29 09:55:00,25995.6,25979.25,25988.4,2025-10-29,09:55:00,25981.450645596866,2,9
25995.55,2025-10-29 10:00:00,26004.95,25983.6,25983.6,2025-10-29,10:00:00,25982.793441254307,2,10
25998.65,2025-10-29 10:05:00,25999.2,25986.1,25996.0,2025-10-29,10:05:00,25984.303589706276,2,11
25997.7,2025-10-29 10:10:00,26016.25,25994.3,25997.8,2025-10-29,10:10:00,25985.57943830568,2,12
25987.95,2025-10-29 10:15:00,26003.95,25987.65,25998.2,2025-10-29,10:15:00,25985.80520608609,2,13
26012.0,2025-10-29 10:20:00,26018.45,25988.75,25988.75,2025-10-29,10:20:00,25988.299948363605,2,14
26040.4,2025-10-29 10:25:00,26042.35,26011.45,26012.3,2025-10-29,10:25:00,25993.26185804326,2,15
26061.25,2025-10-29 10:30:00,26064.0,26038.35,26040.9,2025-10-29,10:30:00,25999.736919181996,2,16
26043.75,2025-10-29 10:35:00,26062.3,26043.3,26060.75,2025-10-29,10:35:00,26003.92864116466,2,17
26046.15,2025-10-29 10:40:00,26050.45,26040.75,26043.65,2025-10-29,10:40:00,26007.949722958503,2,18
26036.3,2025-10-29 10:45:00,26050.6,26034.75,26045.8,2025-10-29,10:45:00,26010.649749343407,2,19
26024.9,2025-10-29 10:50:00,26040.5,26022.0,26035.05,2025-10-29,10:50:00,26012.006916072605,2,20
26041.4,2025-10-29 10:55:00,26047.6,26022.55,26023.6,2025-10-29,10:55:00,26014.806257399025,2,21
26032.9,2025-10-29 11:00:00,26046.95,26031.6,26040.3,2025-10-29,11:00:00,26016.52947098007,2,22
26035.5,2025-10-29 11:05:00,26038.1,26030.35,26032.7,2025-10-29,11:05:00,26018.336188029585,2,23
26022.45,2025-10-29 11:10:00,26045.35,26017.7,26035.7,2025-10-29,11:10:00,26018.727979645813,2,24
26014.95,2025-10-29 11:15:00,26028.8,26007.9,26022.3,2025-10-29,11:15:00,26018.368172060495,2,25
26035.55,2025-10-29 11:20:00,26039.65,26011.1,26014.85,2025-10-29,11:20:00,26020.004536626162,2,26
26040.7,2025-10-29 11:25:00,26049.0,26034.6,26035.5,2025-10-29,11:25:00,26021.975533137957,2,27
26037.2,2025-10-29 11:30:00,26043.95,26032.0,26040.35,2025-10-29,11:30:00,26023.425482362913,2,28
26041.5,2025-10-29 11:35:00,26042.5,26028.5,26036.85,2025-10-29,11:35:00,26025.14686499502,2,29
26049.6,2025-10-29 11:40:00,26053.95,26035.25,26040.2,2025-10-29,11:40:00,26027.475734995493,2,30
26038.85,2025-10-29 11:45:00,26052.65,26036.3,26049.55,2025-10-29,11:45:00,26028.558998329252,2,31
26034.45,2025-10-29 11:50:00,26041.1,26033.1,26038.7,2025-10-29,11:50:00,26029.12004610742,2,32
26034.2,2025-10-29 11:55:00,26035.6,26024.45,26034.85,2025-10-29,11:55:00,26029.603851240045,2,33
26045.6,2025-10-29 12:00:00,26046.1,26025.55,26034.8,2025-10-29,12:00:00,26031.127293979087,2,34
26057.65,2025-10-29 12:05:00,26061.4,26043.35,26046.8,2025-10-29,12:05:00,26033.65326598108,2,35
26054.75,2025-10-29 12:10:00,26063.65,26052.75,26057.7,2025-10-29,12:10:00,26035.662478744787,2,36
26058.8,2025-10-29 12:15:00,26062.7,26053.15,26055.2,2025-10-29,12:15:00,26037.866052197664,2,37
26049.75,2025-10-29 12:20:00,26061.1,26049.55,26059.6,2025-10-29,12:20:00,26038.99785675027,2,38
26065.3,2025-10-29 12:25:00,26069.35,26048.95,26049.95,2025-10-29,12:25:00,26041.502822774055,2,39
26056.95,2025-10-29 12:30:00,26076.2,26056.0,26065.95,2025-10-29,12:30:00,26042.97398250986,2,40
26064.0,2025-10-29 12:35:00,26067.55,26056.85,26056.85,2025-10-29,12:35:00,26044.976460366062,2,41
26073.0,2025-10-29 12:40:00,26076.55,26061.65,26064.2,2025-10-29,12:40:00,26047.64536890263,2,42
26080.4,2025-10-29 12:45:00,26083.9,26072.1,26073.05,2025-10-29,12:45:00,26050.76485757857,2,43
26071.7,2025-10-29 12:50:00,26082.05,26068.6,26082.05,2025-10-29,12:50:00,26052.758680666328,2,44
26073.85,2025-10-29 12:55:00,26075.85,26067.95,26071.85,2025-10-29,12:55:00,26054.767377745724,2,45
26058.7,2025-10-29 13:00:00,26077.45,26058.5,26073.9,2025-10-29,13:00:00,26055.141913198513,2,46
26077.2,2025-10-29 13:05:00,26079.25,26056.95,26059.4,2025-10-29,13:05:00,26057.24268337008,2,47
26080.25,2025-10-29 13:10:00,26084.3,26073.05,26077.65,2025-10-29,13:10:00,26059.433856382453,2,48
26082.65,2025-10-29 13:15:00,26085.25,26076.6,26080.0,2025-10-29,13:15:00,26061.64491767936,2,49
26079.35,2025-10-29 13:20:00,26085.15,26072.95,26082.2,2025-10-29,13:20:00,26063.331115995614,2,50
26067.15,2025-10-29 13:25:00,26082.25,26066.15,26080.85,2025-10-29,13:25:00,26063.694819234126,2,51
26089.7,2025-10-29 13:30:00,26091.1,26064.3,26068.0,2025-10-29,13:30:00,26066.17150311659,2,52
26094.65,2025-10-29 13:35:00,26095.95,26083.55,26090.2,2025-10-29,13:35:00,26068.88374091501,2,53
26072.0,2025-10-29 13:40:00,26097.85,26070.4,26095.4,2025-10-29,13:40:00,26069.180527494533,2,54
26069.95,2025-10-29 13:45:00,26080.25,26065.5,26072.65,2025-10-29,13:45:00,26069.25381059029,2,55
26076.35,2025-10-29 13:50:00,26076.6,26069.55,26069.55,2025-10-29,13:50:00,26069.92963815312,2,56
26060.4,2025-10-29 13:55:00,26079.0,26058.4,26076.75,2025-10-29,13:55:00,26069.02205356711,2,57
26046.0,2025-10-29 14:00:00,26061.4,26041.2,26061.4,2025-10-29,14:00:00,26066.82947703691,2,58
26042.05,2025-10-29 14:05:00,26052.45,26038.9,26046.0,2025-10-29,14:05:00,26064.46952684292,2,59
