0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
18113.1,18129.92857142857,18153.2,18112.15,18133.65,18131.0,18130.0306122449,18139.2,18096.6,18115.75,18101.85,18127.34674441205,18132.95,18091.35,18130.05,18122.85,18126.91848303948,18128.7,18086.5,18101.9
18131.0,18130.0306122449,18139.2,18096.6,18115.75,18101.85,18127.34674441205,18132.95,18091.35,18130.05,18122.85,18126.91848303948,18128.7,18086.5,18101.9,18146.65,18128.797675130954,18146.65,18112.4,18121.2
18101.85,18127.34674441205,18132.95,18091.35,18130.05,18122.85,18126.91848303948,18128.7,18086.5,18101.9,18146.65,18128.797675130954,18146.65,18112.4,18121.2,18150.2,18130.83599178515,18150.3,18135.0,18146.0
18122.85,18126.91848303948,18128.7,18086.5,18101.9,18146.65,18128.797675130954,18146.65,18112.4,18121.2,18150.2,18130.83599178515,18150.3,18135.0,18146.0,18163.35,18133.932563996084,18167.45,18140.35,18149.35
18146.65,18128.797675130954,18146.65,18112.4,18121.2,18150.2,18130.83599178515,18150.3,18135.0,18146.0,18163.35,18133.932563996084,18167.45,18140.35,18149.35,18165.3,18136.9199388536,18167.65,18156.85,18164.25
18150.2,18130.83599178515,18150.3,18135.0,18146.0,18163.35,18133.932563996084,18167.45,18140.35,18149.35,18165.3,18136.9199388536,18167.65,18156.85,18164.25,18160.3,18139.14661134373,18171.95,18158.45,18164.95
18163.35,18133.932563996084,18167.45,18140.35,18149.35,18165.3,18136.9199388536,18167.65,18156.85,18164.25,18160.3,18139.14661134373,18171.95,18158.45,18164.95,18162.9,18141.408838834803,18166.9,18154.7,18160.35
18165.3,18136.9199388536,18167.65,18156.85,18164.25,18160.3,18139.14661134373,18171.95,18158.45,18164.95,18162.9,18141.408838834803,18166.9,18154.7,18160.35,18166.1,18143.760377993392,18173.85,18159.5,18163.75
18160.3,18139.14661134373,18171.95,18158.45,18164.95,18162.9,18141.408838834803,18166.9,18154.7,18160.35,18166.1,18143.760377993392,18173.85,18159.5,18163.75,18162.9,18145.58319913688,18170.15,18160.3,18166.4
18163.8,18179.897996691456,18191.7,18153.3,18189.6,18173.35,18179.274377958936,18179.75,18155.35,18164.75,18161.1,18177.543484819987,18174.6,18149.8,18174.6,18187.45,18178.48696245618,18192.9,18161.25,18161.25
18173.35,18179.274377958936,18179.75,18155.35,18164.75,18161.1,18177.543484819987,18174.6,18149.8,18174.6,18187.45,18178.48696245618,18192.9,18161.25,18161.25,18184.35,18179.045346984163,18197.65,18182.7,18187.1
18161.1,18177.543484819987,18174.6,18149.8,18174.6,18187.45,18178.48696245618,18192.9,18161.25,18161.25,18184.35,18179.045346984163,18197.65,18182.7,18187.1,18193.7,18180.44102822377,18195.7,18184.65,18184.8
18187.45,18178.48696245618,18192.9,18161.25,18161.25,18184.35,18179.045346984163,18197.65,18182.7,18187.1,18193.7,18180.44102822377,18195.7,18184.65,18184.8,18204.0,18182.684739821503,18209.0,18188.6,18193.55
18184.35,18179.045346984163,18197.65,18182.7,18187.1,18193.7,18180.44102822377,18195.7,18184.65,18184.8,18204.0,18182.684739821503,18209.0,18188.6,18193.55,18206.1,18184.91476460041,18208.8,18199.1,18202.85
18193.7,18180.44102822377,18195.7,18184.65,18184.8,18204.0,18182.684739821503,18209.0,18188.6,18193.55,18206.1,18184.91476460041,18208.8,18199.1,18202.85,18209.4,18187.24669178132,18210.5,18198.35,18204.95
18204.0,18182.684739821503,18209.0,18188.6,18193.55,18206.1,18184.91476460041,18208.8,18199.1,18202.85,18209.4,18187.24669178132,18210.5,18198.35,18204.95,18203.8,18188.82319732596,18212.45,18202.9,18209.45
18206.1,18184.91476460041,18208.8,18199.1,18202.85,18209.4,18187.24669178132,18210.5,18198.35,18204.95,18203.8,18188.82319732596,18212.45,18202.9,18209.45,18224.55,18192.22574996158,18226.2,18201.7,18203.3
18209.4,18187.24669178132,18210.5,18198.35,18204.95,18203.8,18188.82319732596,18212.45,18202.9,18209.45,18224.55,18192.22574996158,18226.2,18201.7,18203.3,18230.25,18195.847107108097,18232.7,18221.75,18225.0
18223.4,18225.773708035096,18223.5,18207.45,18209.7,18233.4,18226.500021555563,18235.45,18220.1,18223.15,18225.75,18226.428590931224,18238.65,18225.55,18232.9,18174.15,18221.449677509205,18225.35,18172.15,18224.75
18233.4,18226.500021555563,18235.45,18220.1,18223.15,18225.75,18226.428590931224,18238.65,18225.55,18232.9,18174.15,18221.449677509205,18225.35,18172.15,18224.75,18163.85,18215.9639939369,18179.9,18161.9,18174.1
18225.75,18226.428590931224,18238.65,18225.55,18232.9,18174.15,18221.449677509205,18225.35,18172.15,18224.75,18163.85,18215.9639939369,18179.9,18161.9,18174.1,18159.55,18210.59123260958,18166.9,18148.85,18162.95
18174.15,18221.449677509205,18225.35,18172.15,18224.75,18163.85,18215.9639939369,18179.9,18161.9,18174.1,18159.55,18210.59123260958,18166.9,18148.85,18162.95,18155.3,18205.325400932477,18165.95,18150.6,18159.05
18163.85,18215.9639939369,18179.9,18161.9,18174.1,18159.55,18210.59123260958,18166.9,18148.85,18162.95,18155.3,18205.325400932477,18165.95,18150.6,18159.05,18128.3,18197.989648462717,18156.9,18128.05,18156.9
18159.55,18210.59123260958,18166.9,18148.85,18162.95,18155.3,18205.325400932477,18165.95,18150.6,18159.05,18128.3,18197.989648462717,18156.9,18128.05,18156.9,18126.65,18191.19539622817,18127.55,18113.7,18127.35
18155.3,18205.325400932477,18165.95,18150.6,18159.05,18128.3,18197.989648462717,18156.9,18128.05,18156.9,18126.65,18191.19539622817,18127.55,18113.7,18127.35,18135.9,18185.92916801596,18139.4,18122.75,18127.25
18128.3,18197.989648462717,18156.9,18128.05,18156.9,18126.65,18191.19539622817,18127.55,18113.7,18127.35,18135.9,18185.92916801596,18139.4,18122.75,18127.25,18129.6,18180.56448534777,18139.05,18124.2,18135.1
8063.1,18066.437547240574,18094.55,18044.15,18087.45,18043.15,18064.21968559861,18069.7,18031.15,18062.75,18074.8,18065.227334589224,18083.5,18039.05,18042.5,18109.95,18069.48663605692,18120.3,18071.6,18074.3
18043.15,18064.21968559861,18069.7,18031.15,18062.75,18074.8,18065.227334589224,18083.5,18039.05,18042.5,18109.95,18069.48663605692,18120.3,18071.6,18074.3,18082.3,18070.70695643245,18115.05,18080.15,18109.55
18074.8,18065.227334589224,18083.5,18039.05,18042.5,18109.95,18069.48663605692,18120.3,18071.6,18074.3,18082.3,18070.70695643245,18115.05,18080.15,18109.55,18034.3,18067.239627248407,18089.55,18034.1,18079.5
18109.95,18069.48663605692,18120.3,18071.6,18074.3,18082.3,18070.70695643245,18115.05,18080.15,18109.55,18034.3,18067.239627248407,18089.55,18034.1,18079.5,18042.5,18064.88347227237,18056.55,18028.4,18033.35
18082.3,18070.70695643245,18115.05,18080.15,18109.55,18034.3,18067.239627248407,18089.55,18034.1,18079.5,18042.5,18064.88347227237,18056.55,18028.4,18033.35,18043.3,18062.827903484525,18048.5,18027.05,18041.9
18034.3,18067.239627248407,18089.55,18034.1,18079.5,18042.5,18064.88347227237,18056.55,18028.4,18033.35,18043.3,18062.827903484525,18048.5,18027.05,18041.9,18037.25,18060.391912676478,18052.65,18033.25,18043.25
18042.5,18064.88347227237,18056.55,18028.4,18033.35,18043.3,18062.827903484525,18048.5,18027.05,18041.9,18037.25,18060.391912676478,18052.65,18033.25,18043.25,18045.3,18058.954587659668,18048.85,18033.1,18036.9
18043.3,18062.827903484525,18048.5,18027.05,18041.9,18037.25,18060.391912676478,18052.65,18033.25,18043.25,18045.3,18058.954587659668,18048.85,18033.1,18036.9,18018.4,18055.092245977798,18045.05,18013.5,18045.05
