date,close,high,low,open,time,ema,day,position,ema_sma_50,or_date
2020-01-01,12211.3,12216.45,12201.2,12201.55,09:15:00,12211.3,2,1,12211.3,2020-01-01
2020-01-01,12215.15,12218.8,12208.8,12211.85,09:20:00,12211.666666666666,2,2,12211.483333333334,2020-01-01
2020-01-01,12221.65,12222.2,12211.35,12215.35,09:25:00,12212.61746031746,2,3,12211.861375661376,2020-01-01
2020-01-01,12213.55,12221.9,12212.8,12221.35,09:30:00,12212.70627362056,2,4,12212.072600151172,2020-01-01
2020-01-01,12208.2,12213.85,12205.5,12213.45,09:35:00,12212.277104704315,2,5,12212.1135010618,2020-01-01
2020-01-01,12203.15,12208.75,12196.85,12208.0,09:40:00,12211.40785663724,2,6,12211.995893657708,2020-01-01
2020-01-01,12195.35,12204.2,12191.4,12203.0,09:45:00,12209.878536957503,2,7,12211.693414129108,2020-01-01
2020-01-01,12199.55,12205.0,12192.5,12195.2,09:50:00,12208.894866771076,2,8,12211.343595709353,2020-01-01
2020-01-01,12200.5,12203.2,12197.75,12200.05,09:55:00,12208.09535565002,2,9,12210.982680147205,2020-01-01
2020-01-01,12195.4,12201.2,12192.7,12200.65,10:00:00,12206.886274159544,2,10,12210.573039548439,2020-01-01
2020-01-01,12186.7,12195.9,12184.7,12195.3,10:05:00,12204.963771858636,2,11,12210.063106122094,2020-01-01
2020-01-01,12190.85,12194.05,12184.55,12187.0,10:10:00,12203.619603110194,2,12,12209.526147537768,2020-01-01
2020-01-01,12192.75,12193.05,12187.4,12190.65,10:15:00,12202.584402813984,2,13,12208.9921671744,2020-01-01
2020-01-01,12196.2,12200.2,12193.1,12193.1,10:20:00,12201.976364450747,2,14,12208.491038408425,2020-01-01
2020-01-01,12198.2,12200.45,12194.2,12195.8,10:25:00,12201.616710693534,2,15,12208.032749894099,2020-01-01
2020-01-01,12195.45,12198.05,12190.2,12197.8,10:30:00,12201.029404913195,2,16,12207.595040832792,2020-01-01
2020-01-01,12193.3,12197.0,12190.25,12197.0,10:35:00,12200.29327111194,2,17,12207.165524966858,2020-01-01
2020-01-01,12192.25,12197.0,12190.95,12194.05,10:40:00,12199.527245291754,2,18,12206.74117609602,2020-01-01
2020-01-01,12182.65,12193.65,12181.6,12192.15,10:45:00,12197.919888597302,2,19,12206.276897806614,2020-01-01
2020-01-01,12176.35,12182.7,12169.8,12182.7,10:50:00,12195.865613492795,2,20,12205.756333590924,2020-01-01
2020-01-01,12177.35,12177.85,12175.15,12176.85,10:55:00,12194.10222173158,2,21,12205.201375883336,2020-01-01
2020-01-01,12180.5,12184.2,12176.6,12177.6,11:00:00,12192.806772042855,2,22,12204.637984799676,2020-01-01
2020-01-01,12184.9,12187.1,12179.55,12180.7,11:05:00,12192.053746134012,2,23,12204.090843988128,2020-01-01
2020-01-01,12183.4,12185.65,12181.05,12184.45,11:10:00,12191.229579835534,2,24,12203.554957981769,2020-01-01
2020-01-01,12184.05,12187.15,12182.65,12183.15,11:15:00,12190.545810327389,2,25,12203.034592075592,2020-01-01
2020-01-01,12177.5,12185.15,12176.7,12184.35,11:20:00,12189.303352200968,2,26,12202.506467465031,2020-01-01
2020-01-01,12178.65,12179.9,12175.5,12177.4,11:25:00,12188.288747229448,2,27,12201.979885234083,2020-01-01
2020-01-01,12183.45,12184.0,12178.4,12178.8,11:30:00,12187.827914159978,2,28,12201.474457695722,2020-01-01
2020-01-01,12180.8,12183.85,12179.5,12183.15,11:35:00,12187.158589001883,2,29,12200.980807051106,2020-01-01
2020-01-01,12179.35,12180.85,12177.9,12180.65,11:40:00,12186.414913858847,2,30,12200.495277278033,2020-01-01
2020-01-01,12179.6,12180.45,12177.15,12179.25,11:45:00,12185.76587444372,2,31,12200.020135251118,2020-01-01
2020-01-01,12176.3,12180.0,12175.55,12179.75,11:50:00,12184.864362591936,2,32,12199.546517355519,2020-01-01
2020-01-01,12175.95,12176.35,12172.55,12176.15,11:55:00,12184.015375678418,2,33,12199.075876698636,2020-01-01
2020-01-01,12185.9,12187.7,12174.9,12175.4,12:00:00,12184.194863709046,2,34,12198.638199846002,2020-01-01
2020-01-01,12185.6,12189.1,12184.85,12185.85,12:05:00,12184.328686212946,2,35,12198.229356599342,2020-01-01
2020-01-01,12187.35,12187.8,12182.65,12184.5,12:10:00,12184.616430383145,2,36,12197.851219760005,2020-01-01
2020-01-01,12189.5,12193.15,12186.8,12187.2,12:15:00,12185.081532251415,2,37,12197.506093070582,2020-01-01
2020-01-01,12179.9,12189.85,12178.85,12189.85,12:20:00,12184.588052989377,2,38,12197.166144647394,2020-01-01
2020-01-01,12171.75,12179.75,12171.75,12179.75,12:25:00,12183.365381276104,2,39,12196.812278919924,2020-01-01
2020-01-01,12173.9,12174.1,12165.3,12172.1,12:30:00,12182.463916392666,2,40,12196.453569856743,2020-01-01
2020-01-01,12177.55,12178.75,12173.9,12174.65,12:35:00,12181.99592435527,2,41,12196.100944356707,2020-01-01
2020-01-01,12175.8,12178.05,12173.0,12177.35,12:40:00,12181.405836321435,2,42,12195.751060832057,2020-01-01
2020-01-01,12181.25,12182.6,12176.4,12176.75,12:45:00,12181.390994767013,2,43,12195.41710580729,2020-01-01
2020-01-01,12181.4,12182.9,12180.2,12181.65,12:50:00,12181.39185240825,2,44,12195.098350048222,2020-01-01
2020-01-01,12182.85,12183.5,12178.2,12181.05,12:55:00,12181.530723607464,2,45,12194.796847238425,2020-01-01
2020-01-01,12181.95,12183.4,12179.9,12182.4,13:00:00,12181.570654692468,2,46,12194.509321313513,2020-01-01
2020-01-01,12181.5,12182.8,12179.8,12182.5,13:05:00,12181.563925674136,2,47,12194.23388736374,2020-01-01
2020-01-01,12175.35,12181.85,12174.3,12181.65,13:10:00,12180.97212322898,2,48,12193.957600610933,2020-01-01
2020-01-01,12176.9,12177.3,12171.75,12174.55,13:15:00,12180.584301969078,2,49,12193.684676148852,2020-01-01
2020-01-01,12177.6,12182.75,12176.3,12177.15,13:20:00,12180.300082733927,2,50,12193.416984280555,2020-01-01
2020-01-01,12183.45,12183.55,12176.85,12177.95,13:25:00,12180.600074854508,2,51,12192.802985777646,2020-01-01
2020-01-01,12183.45,12186.2,12182.15,12183.3,13:30:00,12180.871496296935,2,52,12192.18708237025,2020-01-01
2020-01-01,12178.9,12183.8,12177.8,12183.8,13:35:00,12180.683734744844,2,53,12191.548407858798,2020-01-01
2020-01-01,12182.35,12182.6,12178.05,12179.1,13:40:00,12180.842426673908,2,54,12190.911130919863,2020-01-01
2020-01-01,12181.05,12182.7,12179.8,12182.55,13:45:00,12180.862195562107,2,55,12190.28283273702,2020-01-01
2020-01-01,12192.3,12192.3,12180.4,12181.55,13:50:00,12181.951510270475,2,56,12189.693705809685,2020-01-01
2020-01-01,12190.55,12197.75,12190.0,12192.75,13:55:00,12182.77041405424,2,57,12189.151543351622,2020-01-01
2020-01-01,12186.5,12191.3,12186.35,12190.0,14:00:00,12183.12561271574,2,58,12188.636158270514,2020-01-01
2020-01-01,12189.55,12191.15,12185.35,12186.35,14:05:00,12183.737459123766,2,59,12188.14900033999,2020-01-01
2020-01-01,12182.05,12190.65,12180.6,12189.6,14:10:00,12183.576748731026,2,60,12187.682809831418,2020-01-01
2020-01-01,12178.8,12182.2,12174.95,12181.55,14:15:00,12183.121820280452,2,61,12187.245970799855,2020-01-01
2020-01-01,12177.4,12180.35,12175.1,12179.05,14:20:00,12182.576885015647,2,62,12186.825116437965,2020-01-01
2020-01-01,12177.9,12179.1,12172.8,12177.5,14:25:00,12182.13146739511,2,63,12186.416057729586,2020-01-01
2020-01-01,12177.15,12184.3,12175.55,12177.8,14:30:00,12181.65704192891,2,64,12186.00967127915,2020-01-01
2020-01-01,12175.6,12178.85,12174.75,12176.9,14:35:00,12181.080180792824,2,65,12185.598940681135,2020-01-01
2020-01-01,12180.75,12181.3,12175.35,12175.85,14:40:00,12181.04873500303,2,66,12185.199327282931,2020-01-01
2020-01-01,12183.35,12183.65,12179.0,12180.25,14:45:00,12181.267903097982,2,67,12184.818819922653,2020-01-01
2020-01-01,12179.65,12183.1,12179.4,12182.85,14:50:00,12181.11381708865,2,68,12184.450551358592,2020-01-01
2020-01-01,12170.3,12180.65,12169.5,12180.05,14:55:00,12180.083929746874,2,69,12184.093832181583,2020-01-01
2020-01-01,12181.4,12182.7,12170.05,12170.35,15:00:00,12180.20926977098,2,70,12183.780705307146,2020-01-01
2020-01-01,12184.5,12188.45,12181.05,12182.25,15:05:00,12180.617910745174,2,71,12183.51101908742,2020-01-01
2020-01-01,12182.3,12187.3,12178.1,12184.3,15:10:00,12180.778109721825,2,72,12183.270445840997,2020-01-01
2020-01-01,12182.15,12186.0,12177.3,12182.45,15:15:00,12180.908765938795,2,73,12183.047546237092,2020-01-01
2020-01-01,12184.8,12186.75,12179.2,12181.55,15:20:00,12181.27935965891,2,74,12182.84854183356,2020-01-01
2020-01-01,12189.7,12191.95,12184.95,12185.3,15:25:00,12182.08132540568,2,75,12182.679252135125,2020-01-01
2020-01-02,12217.2,12217.2,12195.25,12197.3,09:15:00,12185.42596108133,3,1,12182.601704312736,2020-01-02
2020-01-02,12218.2,12220.8,12216.65,12218.15,09:20:00,12188.547298121202,3,2,12182.606875330568,2020-01-02
2020-01-02,12224.25,12227.9,12217.35,12217.9,09:25:00,12191.947555442994,3,3,12182.68926815623,2020-01-02
2020-01-02,12223.5,12230.95,12223.3,12224.55,09:30:00,12194.952550162709,3,4,12182.845147379447,2020-01-02
2020-01-02,12216.95,12224.85,12213.7,12223.1,09:35:00,12197.047545385309,3,5,12183.057800009974,2020-01-02
2020-01-02,12213.7,12220.1,12213.3,12217.3,09:40:00,12198.63349344385,3,6,12183.315152389978,2020-01-02
2020-01-02,12210.05,12214.1,12205.6,12213.65,09:45:00,12199.72077978253,3,7,12183.612280733789,2020-01-02
2020-01-02,12204.7,12212.85,12204.35,12210.1,09:50:00,12200.194991231814,3,8,12183.935873044855,2020-01-02
2020-01-02,12211.8,12212.3,12204.3,12204.95,09:55:00,12201.300230162116,3,9,12184.277980373918,2020-01-02
2020-01-02,12217.6,12217.8,12211.5,12212.1,10:00:00,12202.852589194295,3,10,12184.648458433545,2020-01-02
2020-01-02,12216.65,12219.1,12215.0,12217.75,10:05:00,12204.16662831865,3,11,12185.039462392255,2020-01-02
2020-01-02,12219.6,12220.1,12213.4,12216.2,10:10:00,12205.636473240682,3,12,12185.450561212041,2020-01-02
