,close,ema,datetime,high,low,open,date,time
0,18113.1,18129.92857142857,2023-01-02 09:15:00,18153.2,18112.15,18133.65,2023-01-02,09:15:00
1,18131.0,18130.0306122449,2023-01-02 09:20:00,18139.2,18096.6,18115.75,2023-01-02,09:20:00
2,18101.85,18127.34674441205,2023-01-02 09:25:00,18132.95,18091.35,18130.05,2023-01-02,09:25:00
3,18122.85,18126.91848303948,2023-01-02 09:30:00,18128.7,18086.5,18101.9,2023-01-02,09:30:00
4,18146.65,18128.797675130954,2023-01-02 09:35:00,18146.65,18112.4,18121.2,2023-01-02,09:35:00
5,18150.2,18130.83599178515,2023-01-02 09:40:00,18150.3,18135.0,18146.0,2023-01-02,09:40:00
6,18163.35,18133.932563996084,2023-01-02 09:45:00,18167.45,18140.35,18149.35,2023-01-02,09:45:00
7,18165.3,18136.9199388536,2023-01-02 09:50:00,18167.65,18156.85,18164.25,2023-01-02,09:50:00
8,18160.3,18139.14661134373,2023-01-02 09:55:00,18171.95,18158.45,18164.95,2023-01-02,09:55:00
9,18162.9,18141.408838834803,2023-01-02 10:00:00,18166.9,18154.7,18160.35,2023-01-02,10:00:00
10,18166.1,18143.760377993392,2023-01-02 10:05:00,18173.85,18159.5,18163.75,2023-01-02,10:05:00
11,18162.9,18145.58319913688,2023-01-02 10:10:00,18170.15,18160.3,18166.4,2023-01-02,10:10:00
12,18162.55,18147.199084933367,2023-01-02 10:15:00,18165.3,18156.1,18159.4,2023-01-02,10:15:00
13,18163.8,18179.897996691456,2023-01-03 09:15:00,18191.7,18153.3,18189.6,2023-01-03,09:15:00
14,18173.35,18179.274377958936,2023-01-03 09:20:00,18179.75,18155.35,18164.75,2023-01-03,09:20:00
15,18161.1,18177.543484819987,2023-01-03 09:25:00,18174.6,18149.8,18174.6,2023-01-03,09:25:00
16,18187.45,18178.48696245618,2023-01-03 09:30:00,18192.9,18161.25,18161.25,2023-01-03,09:30:00
17,18184.35,18179.045346984163,2023-01-03 09:35:00,18197.65,18182.7,18187.1,2023-01-03,09:35:00
18,18193.7,18180.44102822377,2023-01-03 09:40:00,18195.7,18184.65,18184.8,2023-01-03,09:40:00
19,18204.0,18182.684739821503,2023-01-03 09:45:00,18209.0,18188.6,18193.55,2023-01-03,09:45:00
20,18206.1,18184.91476460041,2023-01-03 09:50:00,18208.8,18199.1,18202.85,2023-01-03,09:50:00
21,18209.4,18187.24669178132,2023-01-03 09:55:00,18210.5,18198.35,18204.95,2023-01-03,09:55:00
22,18203.8,18188.82319732596,2023-01-03 10:00:00,18212.45,18202.9,18209.45,2023-01-03,10:00:00
23,18224.55,18192.22574996158,2023-01-03 10:05:00,18226.2,18201.7,18203.3,2023-01-03,10:05:00
24,18230.25,18195.847107108097,2023-01-03 10:10:00,18232.7,18221.75,18225.0,2023-01-03,10:10:00
25,18228.65,18198.97119214542,2023-01-03 10:15:00,18235.6,18227.5,18230.1,2023-01-03,10:15:00
26,18210.75,18226.02357203879,2023-01-04 09:15:00,18243.0,18200.1,18237.95,2023-01-04,09:15:00
