close,datetime,exchange_code,high,low,open,stock_code,volume
22420.4,2025-04-09 15:29:59,NSE,22421.2,22420.4,22421.2,NIFTY,0
22453.25,2025-04-09 09:15:00,NSE,22453.25,22453.25,22453.25,NIFTY,0
22451.9,2025-04-09 09:15:01,NSE,22452.65,22451.9,22452.65,NIFTY,0
22451,2025-04-09 09:15:02,NSE,22451,22447.45,22447.45,NIFTY,0
22442.6,2025-04-09 09:15:03,NSE,22446.05,22442.6,22446.05,NIFTY,0
22421.9,2025-04-09 09:15:04,NSE,22429.3,22421.9,22429.3,NIFTY,0
22422.85,2025-04-09 09:15:05,NSE,22422.85,22422.7,22422.7,NIFTY,0
22418.9,2025-04-09 09:15:06,NSE,22422.15,22418.9,22422.15,NIFTY,0
22409.35,2025-04-09 09:15:07,NSE,22417.8,22409.35,22417.8,NIFTY,0
22409.4,2025-04-09 09:15:08,NSE,22409.4,22408.4,22408.4,NIFTY,0
22409.6,2025-04-09 09:15:09,NSE,22409.6,22408.5,22408.5,NIFTY,0
22407.05,2025-04-09 09:15:10,NSE,22407.05,22406.5,22406.5,NIFTY,0
22388.35,2025-04-09 09:15:11,NSE,22404.1,22388.35,22404.1,NIFTY,0
22372.3,2025-04-09 09:15:12,NSE,22377.1,22372.3,22377.1,NIFTY,0
22362.5,2025-04-09 09:15:13,NSE,22365,22362.5,22365,NIFTY,0
22371.05,2025-04-09 09:15:14,NSE,22371.05,22369.05,22369.05,NIFTY,0
22373.6,2025-04-09 09:15:15,NSE,22373.6,22370.6,22370.6,NIFTY,0
22375.55,2025-04-09 09:15:16,NSE,22378.5,22375.55,22378.5,NIFTY,0
22374.95,2025-04-09 09:15:17,NSE,22378.35,22374.95,22378.35,NIFTY,0
22373.2,2025-04-09 09:15:18,NSE,22373.2,22369.75,22369.75,NIFTY,0
22368.05,2025-04-09 09:15:19,NSE,22372.95,22368.05,22372.95,NIFTY,0
22371.55,2025-04-09 09:15:20,NSE,22371.55,22369.3,22369.3,NIFTY,0
22366.4,2025-04-09 09:15:21,NSE,22369.9,22366.4,22369.9,NIFTY,0
22374.35,2025-04-09 09:15:22,NSE,22374.35,22368.7,22368.7,NIFTY,0
22383.6,2025-04-09 09:15:23,NSE,22383.6,22377.45,22377.45,NIFTY,0
22382.55,2025-04-09 09:15:24,NSE,22385,22382.55,22385,NIFTY,0
22383.6,2025-04-09 09:15:25,NSE,22383.6,22382.6,22382.6,NIFTY,0
22390.2,2025-04-09 09:15:26,NSE,22390.2,22384.75,22384.75,NIFTY,0
22396,2025-04-09 09:15:27,NSE,22396,22395.55,22395.55,NIFTY,0
22398.55,2025-04-09 09:15:28,NSE,22398.55,22393.6,22393.6,NIFTY,0
22390,2025-04-09 09:15:29,NSE,22392.15,22390,22392.15,NIFTY,0
22392.85,2025-04-09 09:15:30,NSE,22392.85,22388.85,22388.85,NIFTY,0
22388.25,2025-04-09 09:15:31,NSE,22388.25,22387.3,22387.3,NIFTY,0
22387.3,2025-04-09 09:15:32,NSE,22387.8,22387.3,22387.8,NIFTY,0
22386.4,2025-04-09 09:15:33,NSE,22386.4,22385.25,22385.25,NIFTY,0
22394.25,2025-04-09 09:15:34,NSE,22394.25,22392.85,22392.85,NIFTY,0
22391.45,2025-04-09 09:15:35,NSE,22391.45,22391.05,22391.05,NIFTY,0
22391.3,2025-04-09 09:15:36,NSE,22391.3,22391.3,22391.3,NIFTY,0
22390.95,2025-04-09 09:15:37,NSE,22390.95,22387.8,22387.8,NIFTY,0
22390.15,2025-04-09 09:15:38,NSE,22390.15,22388.8,22388.8,NIFTY,0
22390.15,2025-04-09 09:15:39,NSE,22390.15,22389.5,22389.5,NIFTY,0
22393.95,2025-04-09 09:15:40,NSE,22393.95,22390.35,22390.35,NIFTY,0
22391.15,2025-04-09 09:15:41,NSE,22393.15,22391.15,22393.15,NIFTY,0
22386.5,2025-04-09 09:15:42,NSE,22390.4,22386.5,22390.4,NIFTY,0
22386.85,2025-04-09 09:15:43,NSE,22386.85,22385.3,22385.3,NIFTY,0
22387.6,2025-04-09 09:15:44,NSE,22387.6,22386.7,22386.7,NIFTY,0
22393.3,2025-04-09 09:15:45,NSE,22393.3,22389.8,22389.8,NIFTY,0
22394.8,2025-04-09 09:15:46,NSE,22394.8,22394.8,22394.8,NIFTY,0
22401.55,2025-04-09 09:15:47,NSE,22401.55,22398.75,22399.9,NIFTY,0
22404.55,2025-04-09 09:15:48,NSE,22404.55,22401.5,22401.5,NIFTY,0
22402.6,2025-04-09 09:15:49,NSE,22404.65,22402.6,22404.65,NIFTY,0
22407.65,2025-04-09 09:15:50,NSE,22407.65,22406.75,22406.75,NIFTY,0
22404.35,2025-04-09 09:15:51,NSE,22407.15,22404.35,22407.15,NIFTY,0
22407.45,2025-04-09 09:15:52,NSE,22407.45,22405.15,22405.15,NIFTY,0
22410.05,2025-04-09 09:15:53,NSE,22410.05,22409.8,22409.8,NIFTY,0
22417.35,2025-04-09 09:15:54,NSE,22417.35,22415.35,22415.35,NIFTY,0
22419,2025-04-09 09:15:55,NSE,22419,22418.05,22418.05,NIFTY,0
22417.3,2025-04-09 09:15:56,NSE,22417.3,22417.3,22417.3,NIFTY,0
22414.55,2025-04-09 09:15:57,NSE,22416.75,22413.7,22416.75,NIFTY,0
22413.4,2025-04-09 09:15:58,NSE,22414.65,22413.4,22414.65,NIFTY,0
22409.7,2025-04-09 09:15:59,NSE,22412.2,22409.7,22412.2,NIFTY,0
22406.85,2025-04-09 09:16:00,NSE,22406.85,22401.2,22401.2,NIFTY,0
22412.15,2025-04-09 09:16:01,NSE,22412.15,22409.95,22409.95,NIFTY,0
22416.05,2025-04-09 09:16:02,NSE,22416.05,22413.85,22413.85,NIFTY,0
22420.5,2025-04-09 09:16:03,NSE,22420.7,22420.5,22420.7,NIFTY,0
22421.7,2025-04-09 09:16:04,NSE,22422.55,22421.7,22422.55,NIFTY,0
22421.95,2025-04-09 09:16:05,NSE,22421.95,22420.7,22420.7,NIFTY,0
22419.15,2025-04-09 09:16:06,NSE,22419.15,22419.15,22419.15,NIFTY,0
22412.1,2025-04-09 09:16:07,NSE,22417.9,22412.1,22417.05,NIFTY,0
22412.75,2025-04-09 09:16:08,NSE,22412.9,22412.75,22412.9,NIFTY,0
22414.35,2025-04-09 09:16:09,NSE,22414.35,22413.3,22413.3,NIFTY,0
22413.95,2025-04-09 09:16:10,NSE,22413.95,22413.8,22413.8,NIFTY,0
22412.6,2025-04-09 09:16:11,NSE,22412.6,22410.55,22410.55,NIFTY,0
22415.9,2025-04-09 09:16:12,NSE,22415.9,22414.5,22414.5,NIFTY,0
22420.1,2025-04-09 09:16:13,NSE,22420.1,22419.9,22419.9,NIFTY,0
22425.15,2025-04-09 09:16:14,NSE,22425.15,22423,22423,NIFTY,0
22425.8,2025-04-09 09:16:15,NSE,22425.8,22424.15,22424.15,NIFTY,0
22425,2025-04-09 09:16:16,NSE,22425,22424.55,22424.55,NIFTY,0
22424.05,2025-04-09 09:16:17,NSE,22424.05,22423.1,22423.1,NIFTY,0
22427.5,2025-04-09 09:16:18,NSE,22427.5,22424.05,22424.05,NIFTY,0
22428.05,2025-04-09 09:16:19,NSE,22428.45,22428.05,22428.45,NIFTY,0
22430.55,2025-04-09 09:16:20,NSE,22430.55,22426.65,22426.65,NIFTY,0
22428.75,2025-04-09 09:16:21,NSE,22431.2,22428.75,22431.2,NIFTY,0
22427.75,2025-04-09 09:16:22,NSE,22428,22427.75,22428,NIFTY,0
22419.95,2025-04-09 09:16:23,NSE,22426.4,22419.95,22426.4,NIFTY,0
22425,2025-04-09 09:16:24,NSE,22425,22424.05,22424.05,NIFTY,0
22425.55,2025-04-09 09:16:25,NSE,22425.55,22421.55,22421.55,NIFTY,0
22423.75,2025-04-09 09:16:26,NSE,22423.75,22420.7,22420.7,NIFTY,0
22424.55,2025-04-09 09:16:27,NSE,22424.55,22423.4,22423.4,NIFTY,0
22422.55,2025-04-09 09:16:28,NSE,22424,22422.55,22424,NIFTY,0
22423.6,2025-04-09 09:16:29,NSE,22423.6,22422.95,22422.95,NIFTY,0
22426.7,2025-04-09 09:16:30,NSE,22426.7,22420.15,22420.15,NIFTY,0
22416.7,2025-04-09 09:16:31,NSE,22417.15,22416.7,22417.15,NIFTY,0
22419.65,2025-04-09 09:16:32,NSE,22419.65,22413.35,22413.35,NIFTY,0
22412.9,2025-04-09 09:16:33,NSE,22414.9,22412.9,22414.9,NIFTY,0
22412.55,2025-04-09 09:16:34,NSE,22415.9,22412.55,22415.9,NIFTY,0
22412.4,2025-04-09 09:16:35,NSE,22412.4,22410.45,22410.45,NIFTY,0
22408.7,2025-04-09 09:16:36,NSE,22408.7,22408.35,22408.35,NIFTY,0
22405.15,2025-04-09 09:16:37,NSE,22410.5,22405.15,22410.5,NIFTY,0
22406.55,2025-04-09 09:16:38,NSE,22406.55,22405.15,22405.15,NIFTY,0
22406.3,2025-04-09 09:16:39,NSE,22406.3,22403.95,22403.95,NIFTY,0
22405.4,2025-04-09 09:16:40,NSE,22405.4,22403.95,22403.95,NIFTY,0
22402.5,2025-04-09 09:16:41,NSE,22405.2,22402.5,22405.2,NIFTY,0
22403.2,2025-04-09 09:16:42,NSE,22403.6,22403.2,22403.6,NIFTY,0
22403.85,2025-04-09 09:16:43,NSE,22405.2,22403.85,22405.2,NIFTY,0
22405.3,2025-04-09 09:16:44,NSE,22405.3,22404.2,22404.2,NIFTY,0
22395.5,2025-04-09 09:16:45,NSE,22397.35,22395.5,22397.35,NIFTY,0
22393.9,2025-04-09 09:16:46,NSE,22394.2,22393.9,22394.2,NIFTY,0
22390.05,2025-04-09 09:16:47,NSE,22392.5,22390.05,22392.5,NIFTY,0
22388.8,2025-04-09 09:16:48,NSE,22388.8,22387.35,22387.35,NIFTY,0
22387.95,2025-04-09 09:16:49,NSE,22387.95,22386.95,22386.95,NIFTY,0
22390.25,2025-04-09 09:16:50,NSE,22390.25,22386.4,22386.4,NIFTY,0
22399.7,2025-04-09 09:16:51,NSE,22399.7,22395.85,22395.85,NIFTY,0
22397.75,2025-04-09 09:16:52,NSE,22399.6,22397.75,22399.6,NIFTY,0
22399.45,2025-04-09 09:16:53,NSE,22400.4,22399.45,22400.4,NIFTY,0
22403.85,2025-04-09 09:16:54,NSE,22403.85,22402.1,22402.1,NIFTY,0
22409.25,2025-04-09 09:16:55,NSE,22409.25,22404.7,22404.7,NIFTY,0
22410.35,2025-04-09 09:16:56,NSE,22411,22410.35,22411,NIFTY,0
22407.5,2025-04-09 09:16:57,NSE,22407.5,22403.95,22403.95,NIFTY,0
22407.7,2025-04-09 09:16:58,NSE,22407.7,22406.7,22406.7,NIFTY,0
22401.4,2025-04-09 09:16:59,NSE,22401.95,22401.4,22401.95,NIFTY,0
22396.45,2025-04-09 09:17:00,NSE,22396.45,22393.95,22393.95,NIFTY,0
22394.05,2025-04-09 09:17:01,NSE,22394.05,22394.05,22394.05,NIFTY,0
22401.2,2025-04-09 09:17:02,NSE,22401.2,22396.4,22396.4,NIFTY,0
22409.05,2025-04-09 09:17:03,NSE,22409.05,22405.7,22405.7,NIFTY,0
22412.15,2025-04-09 09:17:04,NSE,22412.15,22410.35,22410.35,NIFTY,0
