close,ema,high,low,open,position,day,dateni,time_slot,hi_lo_diff
18113.1,18129.92857142857,18153.2,18112.15,18133.65,1,0,2023-01-02,25,41.04999999999927
18131.0,18130.0306122449,18139.2,18096.6,18115.75,2,0,2023-01-02,25,42.60000000000218
18101.85,18127.34674441205,18132.95,18091.35,18130.05,3,0,2023-01-02,25,41.60000000000218
18122.85,18126.91848303948,18128.7,18086.5,18101.9,4,0,2023-01-02,25,42.20000000000073
18146.65,18128.797675130954,18146.65,18112.4,18121.2,5,0,2023-01-02,25,34.25
18150.2,18130.83599178515,18150.3,18135.0,18146.0,6,0,2023-01-02,25,15.299999999999272
18163.35,18133.932563996084,18167.45,18140.35,18149.35,7,0,2023-01-02,25,27.100000000002183
18165.3,18136.9199388536,18167.65,18156.85,18164.25,8,0,2023-01-02,25,10.80000000000291
18160.3,18139.14661134373,18171.95,18158.45,18164.95,9,0,2023-01-02,25,13.5
18162.9,18141.408838834803,18166.9,18154.7,18160.35,10,0,2023-01-02,25,12.200000000000728
18166.1,18143.760377993392,18173.85,18159.5,18163.75,11,0,2023-01-02,25,14.349999999998545
18162.9,18145.58319913688,18170.15,18160.3,18166.4,12,0,2023-01-02,25,9.850000000002183
18162.55,18147.199084933367,18165.3,18156.1,18159.4,13,0,2023-01-02,25,9.200000000000728
18165.2,18148.91345779685,18171.95,18163.15,18163.15,14,0,2023-01-02,25,8.799999999999272
18156.75,18149.65979514953,18169.7,18155.4,18165.0,15,0,2023-01-02,25,14.299999999999272
18165.5,18151.16838608768,18171.95,18157.35,18157.35,16,0,2023-01-02,25,14.600000000002183
18188.8,18154.75234931742,18189.9,18162.85,18163.95,17,0,2023-01-02,25,27.05000000000291
18183.75,18157.51403033481,18189.3,18182.25,18188.65,18,0,2023-01-02,25,7.049999999999272
18175.4,18159.21745601721,18187.35,18170.5,18184.15,19,0,2023-01-02,25,16.849999999998545
18180.6,18161.253888777475,18180.8,18170.6,18175.65,20,0,2023-01-02,25,10.200000000000728
18181.0,18163.13447079867,18183.95,18177.05,18180.3,21,0,2023-01-02,25,6.900000000001455
18192.3,18165.91214024641,18194.5,18179.3,18181.1,22,0,2023-01-02,25,15.200000000000728
18196.45,18168.820507841992,18199.35,18190.65,18190.75,23,0,2023-01-02,25,8.69999999999709
18186.5,18170.5042689999,18199.8,18183.9,18196.35,24,0,2023-01-02,25,15.899999999997817
18190.85,18172.44195766657,18191.5,18183.45,18186.1,25,0,2023-01-02,25,8.049999999999272
18183.7,18173.51415217452,18192.45,18183.6,18191.15,26,0,2023-01-02,10,8.850000000002183
18183.95,18174.508042443613,18188.75,18177.15,18184.55,27,0,2023-01-02,10,11.599999999998545
18174.85,18174.54060982993,18186.35,18174.1,18183.85,28,0,2023-01-02,10,12.25
18180.25,18175.084361274705,18181.85,18172.25,18175.15,29,0,2023-01-02,10,9.599999999998545
18186.4,18176.162041153304,18189.05,18179.3,18180.5,30,0,2023-01-02,10,9.75
18181.7,18176.689465805368,18187.7,18181.25,18186.6,31,0,2023-01-02,10,6.450000000000728
18172.75,18176.31427858581,18183.65,18171.25,18182.05,32,0,2023-01-02,10,12.400000000001455
18173.1,18176.008156815733,18176.55,18170.5,18173.55,33,0,2023-01-02,10,6.049999999999272
18178.95,18176.28833235709,18180.9,18172.05,18172.55,34,0,2023-01-02,10,8.850000000002183
18181.65,18176.79896737069,18186.0,18177.9,18178.75,35,0,2023-01-02,10,8.099999999998545
18192.05,18178.251446668724,18192.95,18181.0,18182.4,36,0,2023-01-02,10,11.950000000000728
18192.6,18179.617975557416,18197.3,18190.15,18190.65,37,0,2023-01-02,10,7.149999999997817
18182.8,18179.92102550433,18195.85,18181.65,18193.1,38,0,2023-01-02,10,14.19999999999709
