,sz,bd,sn,uw,lw,id
124,12.0,5.0,1.0,4.0,3.0,10124
125,4.0,1.0,-1.0,1.0,2.0,10125
126,3.0,0.0,-1.0,2.0,0.0,10126
127,6.0,4.0,-1.0,2.0,0.0,10127
128,4.0,2.0,-1.0,2.0,0.0,10128
129,12.0,10.0,-1.0,1.0,1.0,10129
130,8.0,4.0,1.0,3.0,0.0,10130
131,5.0,0.0,-1.0,2.0,2.0,10131
132,9.0,2.0,-1.0,1.0,5.0,10132
133,9.0,8.0,1.0,0.0,1.0,10133
134,7.0,6.0,-1.0,0.0,1.0,10134
135,4.0,0.0,1.0,1.0,2.0,10135
136,4.0,2.0,-1.0,1.0,1.0,10136
137,25.0,5.0,-1.0,3.0,17.0,10137
138,21.0,14.0,-1.0,0.0,6.0,10138
139,9.0,3.0,1.0,4.0,3.0,10139
140,8.0,1.0,-1.0,7.0,0.0,10140
141,9.0,5.0,1.0,2.0,3.0,10141
142,9.0,5.0,-1.0,2.0,2.0,10142
143,5.0,1.0,1.0,1.0,3.0,10143
144,6.0,1.0,1.0,5.0,0.0,10144
145,6.0,2.0,1.0,4.0,0.0,10145
146,3.0,1.0,1.0,2.0,1.0,10146
147,6.0,1.0,1.0,2.0,3.0,10147
148,9.0,9.0,1.0,0.0,0.0,10148
149,6.0,1.0,-1.0,2.0,3.0,10149
150,14.0,7.0,1.0,7.0,0.0,10150
151,7.0,2.0,-1.0,5.0,1.0,10151
152,5.0,3.0,1.0,2.0,0.0,10152
153,6.0,2.0,1.0,1.0,4.0,10153
154,7.0,2.0,-1.0,2.0,2.0,10154
155,7.0,4.0,-1.0,0.0,2.0,10155
156,7.0,5.0,1.0,2.0,0.0,10156
157,12.0,10.0,-1.0,1.0,0.0,10157
158,7.0,4.0,-1.0,2.0,1.0,10158
159,8.0,7.0,1.0,1.0,0.0,10159
160,7.0,3.0,1.0,0.0,4.0,10160
161,8.0,1.0,1.0,1.0,6.0,10161
162,4.0,3.0,1.0,0.0,1.0,10162
163,5.0,2.0,-1.0,0.0,2.0,10163
164,5.0,2.0,-1.0,3.0,1.0,10164
165,8.0,2.0,-1.0,3.0,3.0,10165
166,3.0,1.0,-1.0,2.0,0.0,10166
167,2.0,1.0,1.0,1.0,1.0,10167
168,5.0,1.0,-1.0,1.0,2.0,10168
169,7.0,5.0,-1.0,1.0,2.0,10169
170,8.0,2.0,1.0,2.0,4.0,10170
171,13.0,11.0,1.0,0.0,1.0,10171
172,7.0,1.0,1.0,2.0,4.0,10172
173,10.0,5.0,1.0,4.0,1.0,10173
174,7.0,4.0,-1.0,0.0,3.0,10174
175,6.0,1.0,1.0,3.0,2.0,10175
176,7.0,3.0,-1.0,0.0,4.0,10176
177,36.0,35.0,-1.0,0.0,0.0,10177
178,16.0,9.0,-1.0,6.0,1.0,10178
179,12.0,10.0,-1.0,3.0,0.0,10179
180,9.0,5.0,-1.0,4.0,0.0,10180
181,18.0,12.0,1.0,3.0,2.0,10181
182,18.0,8.0,1.0,1.0,8.0,10182
183,9.0,3.0,-1.0,4.0,1.0,10183
184,10.0,1.0,1.0,6.0,3.0,10184
185,11.0,6.0,1.0,0.0,5.0,10185
186,5.0,1.0,1.0,2.0,2.0,10186
187,6.0,5.0,1.0,1.0,1.0,10187
188,7.0,3.0,1.0,4.0,0.0,10188
189,7.0,2.0,-1.0,0.0,5.0,10189
190,12.0,10.0,-1.0,0.0,1.0,10190
191,7.0,3.0,-1.0,4.0,1.0,10191
192,7.0,2.0,1.0,0.0,4.0,10192
193,6.0,3.0,-1.0,2.0,0.0,10193
194,30.0,19.0,-1.0,0.0,11.0,10194
195,14.0,3.0,-1.0,0.0,10.0,10195
196,8.0,5.0,1.0,1.0,2.0,10196
197,14.0,13.0,-1.0,1.0,0.0,10197
198,14.0,5.0,-1.0,0.0,9.0,10198
199,12.0,6.0,-1.0,2.0,4.0,10199
200,13.0,6.0,1.0,4.0,3.0,10200
201,8.0,3.0,1.0,4.0,1.0,10201
202,9.0,5.0,-1.0,1.0,3.0,10202
203,6.0,1.0,-1.0,3.0,2.0,10203
204,11.0,7.0,-1.0,1.0,3.0,10204
205,9.0,6.0,-1.0,0.0,2.0,10205
206,12.0,10.0,1.0,1.0,1.0,10206
207,5.0,3.0,1.0,0.0,2.0,10207
208,6.0,0.0,1.0,0.0,5.0,10208
209,10.0,10.0,-1.0,0.0,1.0,10209
210,6.0,0.0,0.0,1.0,5.0,10210
211,9.0,3.0,-1.0,2.0,4.0,10211
212,6.0,3.0,-1.0,2.0,1.0,10212
213,7.0,6.0,1.0,0.0,1.0,10213
214,21.0,9.0,-1.0,2.0,10.0,10214
215,7.0,4.0,-1.0,2.0,0.0,10215
216,6.0,1.0,1.0,2.0,4.0,10216
217,9.0,4.0,-1.0,5.0,0.0,10217
218,7.0,1.0,1.0,6.0,0.0,10218
219,10.0,9.0,-1.0,1.0,0.0,10219
220,8.0,1.0,1.0,0.0,7.0,10220
221,15.0,12.0,1.0,2.0,0.0,10221
222,12.0,9.0,-1.0,2.0,1.0,10222
223,6.0,2.0,-1.0,1.0,3.0,10223
224,4.0,1.0,1.0,2.0,1.0,10224
225,6.0,5.0,-1.0,1.0,1.0,10225
226,5.0,0.0,1.0,3.0,1.0,10226
227,11.0,3.0,1.0,6.0,2.0,10227
228,6.0,3.0,-1.0,3.0,0.0,10228
229,5.0,1.0,-1.0,2.0,3.0,10229
230,5.0,1.0,-1.0,2.0,2.0,10230
231,11.0,2.0,1.0,4.0,4.0,10231
232,10.0,8.0,-1.0,2.0,0.0,10232
233,14.0,11.0,1.0,3.0,0.0,10233
234,7.0,5.0,1.0,0.0,2.0,10234
235,10.0,10.0,-1.0,1.0,0.0,10235
236,6.0,4.0,1.0,1.0,2.0,10236
237,15.0,8.0,1.0,6.0,0.0,10237
238,14.0,11.0,-1.0,1.0,2.0,10238
239,10.0,7.0,-1.0,2.0,1.0,10239
240,7.0,4.0,1.0,2.0,1.0,10240
241,14.0,7.0,-1.0,2.0,5.0,10241
242,11.0,1.0,1.0,0.0,10.0,10242
243,10.0,7.0,-1.0,0.0,3.0,10243
244,5.0,1.0,1.0,0.0,5.0,10244
245,13.0,7.0,1.0,4.0,1.0,10245
246,12.0,9.0,-1.0,0.0,3.0,10246
247,15.0,12.0,-1.0,0.0,3.0,10247
248,9.0,5.0,1.0,0.0,3.0,10248
249,8.0,5.0,1.0,2.0,2.0,10249
250,25.0,15.0,1.0,10.0,0.0,10250
251,10.0,1.0,-1.0,8.0,0.0,10251
252,12.0,8.0,-1.0,0.0,4.0,10252
253,7.0,2.0,-1.0,4.0,1.0,10253
254,16.0,13.0,-1.0,3.0,1.0,10254
255,8.0,2.0,1.0,0.0,7.0,10255
256,10.0,7.0,1.0,0.0,2.0,10256
257,11.0,11.0,-1.0,0.0,0.0,10257
258,19.0,15.0,-1.0,0.0,4.0,10258
259,11.0,3.0,1.0,4.0,3.0,10259
260,11.0,3.0,1.0,0.0,8.0,10260
261,9.0,5.0,1.0,3.0,1.0,10261
262,8.0,5.0,-1.0,1.0,2.0,10262
263,7.0,0.0,-1.0,2.0,5.0,10263
264,12.0,7.0,-1.0,3.0,2.0,10264
265,8.0,3.0,-1.0,2.0,3.0,10265
266,7.0,5.0,1.0,2.0,1.0,10266
267,3.0,0.0,0.0,2.0,1.0,10267
268,6.0,4.0,-1.0,1.0,1.0,10268
269,4.0,2.0,-1.0,1.0,0.0,10269
270,6.0,0.0,0.0,1.0,4.0,10270
271,13.0,13.0,1.0,0.0,0.0,10271
272,11.0,6.0,-1.0,4.0,1.0,10272
273,4.0,0.0,1.0,1.0,3.0,10273
274,8.0,1.0,1.0,3.0,4.0,10274
275,7.0,1.0,1.0,1.0,4.0,10275
276,7.0,3.0,-1.0,5.0,0.0,10276
277,4.0,3.0,-1.0,2.0,0.0,10277
278,6.0,5.0,-1.0,1.0,0.0,10278
279,4.0,2.0,1.0,2.0,0.0,10279
280,2.0,0.0,-1.0,2.0,0.0,10280
281,8.0,3.0,-1.0,0.0,5.0,10281
282,5.0,2.0,1.0,0.0,2.0,10282
283,4.0,2.0,1.0,1.0,2.0,10283
284,4.0,1.0,1.0,1.0,1.0,10284
285,10.0,7.0,1.0,3.0,0.0,10285
286,5.0,0.0,-1.0,2.0,3.0,10286
287,11.0,9.0,1.0,1.0,1.0,10287
288,7.0,3.0,1.0,1.0,4.0,10288
289,9.0,2.0,1.0,0.0,7.0,10289
290,7.0,2.0,1.0,3.0,2.0,10290
291,6.0,2.0,1.0,2.0,2.0,10291
292,5.0,3.0,-1.0,0.0,2.0,10292
293,3.0,0.0,1.0,2.0,1.0,10293
294,9.0,4.0,-1.0,3.0,3.0,10294
295,9.0,8.0,-1.0,0.0,0.0,10295
296,9.0,3.0,-1.0,4.0,3.0,10296
297,9.0,8.0,1.0,0.0,0.0,10297
298,7.0,6.0,1.0,1.0,1.0,10298
299,8.0,1.0,1.0,5.0,2.0,10299
300,9.0,4.0,1.0,2.0,2.0,10300
301,5.0,5.0,-1.0,0.0,0.0,10301
302,14.0,10.0,-1.0,0.0,4.0,10302
303,4.0,3.0,-1.0,0.0,1.0,10303
304,5.0,4.0,-1.0,1.0,0.0,10304
305,11.0,9.0,-1.0,2.0,0.0,10305
306,12.0,10.0,1.0,2.0,0.0,10306
307,7.0,7.0,-1.0,0.0,0.0,10307
308,7.0,4.0,1.0,2.0,2.0,10308
309,4.0,1.0,-1.0,1.0,1.0,10309
310,8.0,6.0,1.0,1.0,1.0,10310
311,29.0,15.0,-1.0,3.0,11.0,10311
312,13.0,6.0,1.0,2.0,5.0,10312
313,10.0,1.0,-1.0,7.0,3.0,10313
314,6.0,4.0,-1.0,0.0,2.0,10314
315,11.0,5.0,-1.0,1.0,6.0,10315
316,7.0,0.0,-1.0,1.0,6.0,10316
317,8.0,3.0,1.0,4.0,0.0,10317
318,11.0,7.0,1.0,1.0,4.0,10318
319,10.0,10.0,1.0,0.0,1.0,10319
320,9.0,2.0,-1.0,4.0,2.0,10320
321,7.0,3.0,1.0,2.0,1.0,10321
322,5.0,0.0,-1.0,3.0,2.0,10322
323,6.0,4.0,-1.0,2.0,1.0,10323
324,6.0,2.0,1.0,0.0,3.0,10324
325,8.0,0.0,1.0,4.0,4.0,10325
326,11.0,5.0,1.0,1.0,5.0,10326
327,9.0,4.0,-1.0,3.0,1.0,10327
328,8.0,4.0,1.0,2.0,1.0,10328
329,9.0,2.0,-1.0,2.0,5.0,10329
330,14.0,10.0,1.0,3.0,0.0,10330
331,10.0,1.0,1.0,8.0,0.0,10331
332,10.0,6.0,1.0,0.0,3.0,10332
333,11.0,9.0,-1.0,1.0,0.0,10333
334,7.0,1.0,-1.0,1.0,6.0,10334
335,11.0,7.0,1.0,1.0,3.0,10335
336,12.0,6.0,1.0,3.0,3.0,10336
337,6.0,2.0,1.0,1.0,3.0,10337
338,8.0,4.0,1.0,4.0,0.0,10338
339,7.0,0.0,1.0,4.0,2.0,10339
340,7.0,5.0,-1.0,1.0,1.0,10340
341,14.0,13.0,-1.0,0.0,1.0,10341
342,12.0,8.0,-1.0,2.0,2.0,10342
343,11.0,6.0,-1.0,4.0,2.0,10343
344,8.0,0.0,1.0,5.0,3.0,10344
345,5.0,0.0,1.0,0.0,4.0,10345
346,4.0,0.0,1.0,0.0,3.0,10346
347,7.0,4.0,-1.0,2.0,2.0,10347
348,10.0,6.0,1.0,3.0,1.0,10348
349,4.0,2.0,1.0,0.0,2.0,10349
350,12.0,8.0,1.0,4.0,0.0,10350
351,7.0,0.0,-1.0,2.0,4.0,10351
352,5.0,1.0,-1.0,3.0,1.0,10352
353,18.0,14.0,1.0,3.0,1.0,10353
354,25.0,18.0,1.0,5.0,1.0,10354
355,18.0,7.0,1.0,5.0,6.0,10355
356,13.0,6.0,-1.0,7.0,1.0,10356
357,12.0,3.0,1.0,5.0,3.0,10357
358,15.0,11.0,1.0,4.0,0.0,10358
359,11.0,0.0,-1.0,7.0,3.0,10359
360,17.0,14.0,-1.0,3.0,0.0,10360
361,12.0,5.0,1.0,1.0,6.0,10361
362,6.0,1.0,-1.0,3.0,1.0,10362
363,8.0,1.0,-1.0,5.0,2.0,10363
364,10.0,3.0,1.0,3.0,4.0,10364
365,19.0,19.0,-1.0,0.0,1.0,10365
366,9.0,1.0,-1.0,4.0,4.0,10366
367,11.0,7.0,-1.0,3.0,1.0,10367
368,8.0,4.0,1.0,0.0,3.0,10368
369,7.0,0.0,1.0,2.0,4.0,10369
370,14.0,10.0,1.0,0.0,4.0,10370
371,20.0,8.0,-1.0,3.0,9.0,10371
372,11.0,3.0,-1.0,4.0,4.0,10372
373,12.0,2.0,-1.0,1.0,9.0,10373
374,13.0,10.0,-1.0,2.0,1.0,10374
375,12.0,4.0,1.0,2.0,7.0,10375
376,9.0,3.0,-1.0,4.0,2.0,10376
377,9.0,5.0,-1.0,4.0,1.0,10377
378,10.0,3.0,-1.0,5.0,2.0,10378
379,7.0,2.0,1.0,1.0,3.0,10379
380,6.0,2.0,1.0,0.0,4.0,10380
381,11.0,5.0,-1.0,3.0,3.0,10381
382,19.0,18.0,-1.0,0.0,1.0,10382
383,9.0,1.0,1.0,7.0,2.0,10383
384,12.0,4.0,1.0,0.0,8.0,10384
385,9.0,6.0,-1.0,2.0,1.0,10385
386,11.0,6.0,-1.0,2.0,3.0,10386
387,20.0,17.0,1.0,0.0,2.0,10387
388,6.0,1.0,-1.0,5.0,0.0,10388
389,6.0,5.0,1.0,1.0,0.0,10389
390,8.0,5.0,-1.0,3.0,0.0,10390
391,7.0,1.0,-1.0,5.0,2.0,10391
392,4.0,3.0,-1.0,1.0,0.0,10392
393,6.0,2.0,-1.0,0.0,4.0,10393
394,5.0,2.0,-1.0,0.0,4.0,10394
395,8.0,2.0,1.0,0.0,6.0,10395
396,9.0,2.0,-1.0,4.0,3.0,10396
397,8.0,8.0,1.0,0.0,0.0,10397
398,5.0,2.0,1.0,1.0,1.0,10398
399,5.0,2.0,1.0,2.0,2.0,10399
400,8.0,0.0,-1.0,7.0,1.0,10400
401,13.0,7.0,-1.0,1.0,5.0,10401
402,9.0,8.0,-1.0,1.0,0.0,10402
403,11.0,2.0,1.0,1.0,8.0,10403
404,5.0,2.0,-1.0,1.0,2.0,10404
405,8.0,4.0,-1.0,0.0,4.0,10405
406,11.0,8.0,1.0,3.0,0.0,10406
407,12.0,9.0,1.0,2.0,0.0,10407
408,9.0,7.0,-1.0,2.0,0.0,10408
409,15.0,5.0,-1.0,9.0,1.0,10409
410,8.0,1.0,1.0,2.0,4.0,10410
411,8.0,5.0,-1.0,0.0,3.0,10411
412,14.0,8.0,1.0,6.0,0.0,10412
413,8.0,4.0,-1.0,1.0,3.0,10413
414,5.0,1.0,1.0,3.0,1.0,10414
415,14.0,10.0,1.0,1.0,3.0,10415
416,11.0,2.0,-1.0,7.0,1.0,10416
417,6.0,2.0,1.0,3.0,0.0,10417
418,8.0,6.0,1.0,0.0,2.0,10418
419,14.0,7.0,1.0,6.0,1.0,10419
420,14.0,0.0,1.0,0.0,13.0,10420
421,11.0,6.0,-1.0,5.0,0.0,10421
422,23.0,18.0,1.0,5.0,0.0,10422
423,10.0,8.0,1.0,2.0,0.0,10423
424,6.0,3.0,-1.0,3.0,1.0,10424
425,11.0,9.0,1.0,0.0,2.0,10425
426,7.0,5.0,-1.0,2.0,0.0,10426
427,10.0,4.0,-1.0,1.0,5.0,10427
428,7.0,5.0,1.0,0.0,1.0,10428
429,31.0,22.0,-1.0,2.0,8.0,10429
430,27.0,25.0,-1.0,2.0,0.0,10430
431,54.0,33.0,-1.0,0.0,21.0,10431
432,16.0,11.0,1.0,5.0,0.0,10432
433,14.0,12.0,1.0,2.0,0.0,10433
434,25.0,21.0,-1.0,2.0,2.0,10434
435,17.0,2.0,-1.0,10.0,5.0,10435
436,24.0,16.0,-1.0,6.0,2.0,10436
437,22.0,7.0,1.0,3.0,12.0,10437
438,18.0,6.0,1.0,9.0,2.0,10438
